,SIGNAL,REF,SCORE,FEATURE_1,FEATURE_2,FEATURE_3,FEATURE_4,FEATURE_5,FEATURE_6,FEATURE_7,FEATURE_8,FEATURE_9,FEATURE_10,FEATURE_11,FEATURE_12,FEATURE_13,FEATURE_14,FEATURE_15,FEATURE_16,FEATURE_17,FEATURE_18,FEATURE_19,FEATURE_20,FEATURE_21,FEATURE_22,FEATURE_23,FEATURE_24,FEATURE_25,FEATURE_26,FEATURE_27,FEATURE_28,FEATURE_29,FEATURE_30,FEATURE_31,FEATURE_32,FEATURE_33,FEATURE_34,FEATURE_35,FEATURE_36,FEATURE_37,FEATURE_38,FEATURE_39,FEATURE_40
0,tmc13_amphoriskos_vox10_dec_geom01_text01_octree-predlift.ply,amphoriskos_vox10.ply,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,tmc13_amphoriskos_vox10_dec_geom02_text02_octree-predlift.ply,amphoriskos_vox10.ply,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,tmc13_amphoriskos_vox10_dec_geom03_text03_octree-predlift.ply,amphoriskos_vox10.ply,2.9,0.971987777700567,0.9941679067098635,0.9956863260832817,0.7723659847436201,0.6349609100250164,0.6134639660767004,0.9372525817512631,0.9637522638212677,0.9539191661590161,0.7793797963607224,0.712849872552327,0.7260365024150309,0.8635901220968448,0.3819842180412572,0.3743266337872943,0.5376585915530673,0.1960917961502319,0.6866833296746443,0.981836376153746,0.4314156955731457,0.5877643390074567,0.6346338879713964,0.2366639560799885,0.45866389776718236,0.66502832500473,0.7070574424373398,0.460995005765651,1.0008880837307084,1.0008240112743747,0.9219160610867045,0.6025903668641662,0.5837089719689735,0.9942903127368357,0.9337356608774616,0.3596568864101673,0.7210389326452065,0.7369840003306265,0.5406903825068821,0.4877879675131162,0.0013686444079088254
3,tmc13_amphoriskos_vox10_dec_geom04_text04_octree-predlift.ply,amphoriskos_vox10.ply,4.375,0.9879848061139759,0.9971268263285814,0.9976934377669882,0.8832285812967294,0.7309252285787253,0.6838146998873238,0.9192669177622605,0.9541705242591492,0.9481360556789598,0.8872057509412622,0.7850399607685439,0.8536149127431967,0.6179590524244091,0.28528633891860805,0.3126723976149401,0.32897788617577495,0.1934033207080137,0.5027025545079675,0.7419187867305589,0.3656390012228376,0.405118598227371,0.36289792029979195,0.19176467479610035,0.15954641459339225,0.8635350521393668,0.9077893245904299,0.6746923816892764,0.9988301615342511,0.999191617973548,0.8979213581601182,0.8124863891241619,0.8407908399045,0.9961933668626084,0.938092866911454,0.4374579145316797,0.7759934647157318,0.7917402284121217,0.6117368814433237,0.3823448015036171,0.0005104334534060369
4,tmc13_amphoriskos_vox10_dec_geom05_text05_octree-predlift.ply,amphoriskos_vox10.ply,4.6,0.9935649676400609,0.9984615028564584,0.998704749220405,0.9325681006815243,0.8022657868287795,0.7482104943119081,0.8951586668133944,0.9334549009308031,0.9304457514491563,0.9345480763050914,0.8337602486511113,0.9135506635041593,0.5362191391035879,0.2345456765613672,0.2900620788106218,0.27939602267615266,0.19179718350847558,0.44566104547856156,0.6797228853912086,0.3472344418628913,0.3791571442136637,0.2774389289854173,0.14700221860689103,0.09961841487271238,0.9317851958871433,0.9633802071923139,0.8098329649673845,0.983005691806456,0.9760000057942674,0.8732585650904383,0.9053938904361015,0.9301361290705806,0.9973427928302103,0.9466592467293274,0.5214759853068269,0.8463491530722457,0.8551119999604281,0.6788222915408516,0.2865836858853811,0.0007683579733140488
5,tmc13_amphoriskos_vox10_dec_geom06_text06_octree-predlift.ply,amphoriskos_vox10.ply,4.75,0.9958377788949996,0.9991550217548059,0.9992277420029533,0.9565856478819205,0.865263325254443,0.8109225276164288,0.8729650300665619,0.9139811136092206,0.9103647991290784,0.9575449566282472,0.8778476649384104,0.9439598807666629,0.5070713169464783,0.22016204988514967,0.2750152410001113,0.2646677164728063,0.20672328562854952,0.4005092759969161,0.7651566156141545,0.4029089325591677,0.39048732188863483,0.3036982779728008,0.1419076356369721,0.14654570300541261,0.959501704509392,0.9712604506122201,0.9020674742738475,0.9596107805262726,0.9591969518159751,0.8484071102934853,0.9572716642587314,0.961671109595858,0.9983114147663185,0.9559800422046686,0.5877428854993427,0.910020234535186,0.9103888743755179,0.7245728773452005,0.22425590752646377,0.0011461798671904546
6,tmc13_amphoriskos_vox10_dec_geom01_text01_octree-raht.ply,amphoriskos_vox10.ply,1.0,0.8794191293313542,0.9740002510700285,0.9843760383673827,0.38269452515560465,0.17177899387254497,0.12206492372559186,0.9028531408696753,0.542390368593564,0.3555616699487539,0.39475241601923006,0.15461377454927994,0.3398535551678091,2.807167664751437,0.6644891846545766,0.6768092833092446,2.4988311568286505,0.7322240595419167,3.6042305394945404,2.9412260523468405,0.9822870983911948,2.2329629461550398,2.6131106870359906,0.804567874148089,2.079210497434301,0.08114339889154143,0.09125050162511136,0.05520082373981303,1.000439959724111,0.9988760235615971,0.9600467081706723,0.06902109916463368,0.03799758461859836,0.9644038572704515,0.8874228307258929,0.33558285999295173,0.6101116183507244,0.6120796060083773,0.5082763527375902,0.5271782660930711,0.02189379757553689
7,tmc13_amphoriskos_vox10_dec_geom02_text02_octree-raht.ply,amphoriskos_vox10.ply,1.075,0.9264349219586467,0.9843635878096216,0.9895517482311549,0.5244066941566591,0.28356336501222934,0.2205668138811465,0.9697167037484363,0.7560767121119718,0.573603274150886,0.5325348281667527,0.2757420471099867,0.4704711062323993,1.4601729858312797,0.4724316596279617,0.4868454564605663,1.153760969452368,0.32209871272488566,1.5651200915049954,1.4267193665526585,0.5709247737866743,0.9531579055895044,1.048322329755,0.3652492669836829,0.7747111399366633,0.265298120926633,0.2887735419377527,0.15981610421625833,0.9999535051683467,1.0005037656430205,0.9492976794915545,0.22490008115867555,0.1675472656009909,0.9861909535759075,0.9239432715743866,0.32820170006369054,0.63588106148492,0.6451153137247455,0.5102513739300605,0.53188590497595,0.006857551254429656
8,tmc13_amphoriskos_vox10_dec_geom03_text03_octree-raht.ply,amphoriskos_vox10.ply,2.025,0.9706394478733489,0.993333089221085,0.9947977427349125,0.7111595096636983,0.4307540983028542,0.3549926876463979,0.9447565097885563,0.8473197404558567,0.7493438540945004,0.7109659811814922,0.4448583623983584,0.6553990200333358,0.8635901220968448,0.3819842180412572,0.3743266337872943,0.5376585915530673,0.1960917961502319,0.6866833296746443,0.981836376153746,0.4314156955731457,0.5877643390074567,0.6346338879713964,0.2366639560799885,0.45866389776718236,0.66502832500473,0.7070574424373398,0.460995005765651,1.0008880837307084,1.0008240112743747,0.9219160610867045,0.6025903668641662,0.5837089719689735,0.9942903127368357,0.9337356608774616,0.3596568864101673,0.7210389326452065,0.7369840003306265,0.5406903825068821,0.4877879675131162,0.0013686444079088254
9,tmc13_amphoriskos_vox10_dec_geom04_text04_octree-raht.ply,amphoriskos_vox10.ply,3.7,0.987424443340864,0.9966381323755668,0.9971664904331173,0.8492718351601837,0.5736071338860215,0.4948588750665593,0.9269908690868296,0.8812570171091959,0.8311628432797582,0.8473241255985214,0.5983314262233372,0.8106169958256965,0.6179590524244091,0.28528633891860805,0.3126723976149401,0.32897788617577495,0.1934033207080137,0.5027025545079675,0.7419187867305589,0.3656390012228376,0.405118598227371,0.36289792029979195,0.19176467479610035,0.15954641459339225,0.8635350521393668,0.9077893245904299,0.6746923816892764,0.9988301615342511,0.999191617973548,0.8979213581601182,0.8124863891241619,0.8407908399045,0.9961933668626084,0.938092866911454,0.4374579145316797,0.7759934647157318,0.7917402284121217,0.6117368814433237,0.3823448015036171,0.0005104334534060369
10,tmc13_amphoriskos_vox10_dec_geom05_text05_octree-raht.ply,amphoriskos_vox10.ply,4.475,0.9934557432394077,0.9981916889317377,0.9983729305095029,0.9151229973656035,0.7147502117280247,0.6322192553018595,0.899701816074135,0.9136864813883606,0.8854977273390267,0.9139079013743701,0.7348839458057016,0.8906254587396237,0.5362191391035879,0.2345456765613672,0.2900620788106218,0.27939602267615266,0.19179718350847558,0.44566104547856156,0.6797228853912086,0.3472344418628913,0.3791571442136637,0.2774389289854173,0.14700221860689103,0.09961841487271238,0.9317851958871433,0.9633802071923139,0.8098329649673845,0.983005691806456,0.9760000057942674,0.8732585650904383,0.9053938904361015,0.9301361290705806,0.9973427928302103,0.9466592467293274,0.5214759853068269,0.8463491530722457,0.8551119999604281,0.6788222915408516,0.2865836858853811,0.0007683579733140488
11,tmc13_amphoriskos_vox10_dec_geom06_text06_octree-raht.ply,amphoriskos_vox10.ply,4.85,0.9958351107613759,0.998958629895608,0.9990235088581365,0.947218074645332,0.8135154399026991,0.7449767425623364,0.8745977456745806,0.9103120730561008,0.9043124467309882,0.9470408373921944,0.8328510927319801,0.9311249596287693,0.5070713169464783,0.22016204988514967,0.2750152410001113,0.2646677164728063,0.20672328562854952,0.4005092759969161,0.7651566156141545,0.4029089325591677,0.39048732188863483,0.3036982779728008,0.1419076356369721,0.14654570300541261,0.959501704509392,0.9712604506122201,0.9020674742738475,0.9596107805262726,0.9591969518159751,0.8484071102934853,0.9572716642587314,0.961671109595858,0.9983114147663185,0.9559800422046686,0.5877428854993427,0.910020234535186,0.9103888743755179,0.7245728773452005,0.22425590752646377,0.0011461798671904546
12,tmc13_amphoriskos_vox10_dec_geom01_text01_trisoup-predlift.ply,amphoriskos_vox10.ply,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,tmc13_amphoriskos_vox10_dec_geom02_text02_trisoup-predlift.ply,amphoriskos_vox10.ply,2.3,0.9798677929657894,0.9938174756690228,0.9953314186521639,0.6088278170128024,0.5177766707855157,0.47990407252118217,0.9498419697867371,0.9414992717846777,0.878938244700485,0.6164370124280081,0.514242005246728,0.5346456243213947,0.7891554516934948,0.38189091041664347,0.385256456742201,0.4139841230076366,0.1908932574649457,0.28746377208271096,0.8961358851260679,0.4596678780918911,0.4400363264933537,0.6104514452076699,0.263034800644732,0.4030217701663503,0.7905173338105858,0.7217158741583333,0.6609760160443487,0.9998685673513785,1.0002403491778495,0.9472709062263953,0.7213243475485551,0.6567046313271326,0.9944239414434617,0.9154549148417712,0.29996435257179405,0.7825480436338821,0.7692246834771723,0.5026162706481526,0.5437383705657913,0.0035154977444491245
14,tmc13_amphoriskos_vox10_dec_geom03_text03_trisoup-predlift.ply,amphoriskos_vox10.ply,2.675,0.985330442006809,0.9963539290240431,0.9970614885534859,0.6774539161170441,0.5832418635037763,0.5450242122306096,0.9357381597560985,0.9385349641816275,0.9044746301639021,0.6830895483415426,0.5834165709265161,0.6067464475540947,0.7891554516934948,0.38189091041664347,0.385256456742201,0.4139841230076366,0.1908932574649457,0.28746377208271096,0.8961358851260679,0.4596678780918911,0.4400363264933537,0.6104514452076699,0.263034800644732,0.4030217701663503,0.7905173338105858,0.7217158741583333,0.6609760160443487,0.9998685673513785,1.0002403491778495,0.9472709062263953,0.7213243475485551,0.6567046313271326,0.9944239414434617,0.9154549148417712,0.29996435257179405,0.7825480436338821,0.7692246834771723,0.5026162706481526,0.5437383705657913,0.0035154977444491245
15,tmc13_amphoriskos_vox10_dec_geom04_text04_trisoup-predlift.ply,amphoriskos_vox10.ply,2.725,0.9865759515631558,0.9978619875509083,0.9982089722412701,0.7258617437141323,0.6361533326794696,0.6016245758986792,0.9275608291347782,0.9380985271000236,0.9168143855029894,0.7291677705494656,0.6353793519495812,0.6600124848873146,0.7891554516934948,0.38189091041664347,0.385256456742201,0.4139841230076366,0.1908932574649457,0.28746377208271096,0.8961358851260679,0.4596678780918911,0.4400363264933537,0.6104514452076699,0.263034800644732,0.4030217701663503,0.7905173338105858,0.7217158741583333,0.6609760160443487,0.9998685673513785,1.0002403491778495,0.9472709062263953,0.7213243475485551,0.6567046313271326,0.9944239414434617,0.9154549148417712,0.29996435257179405,0.7825480436338821,0.7692246834771723,0.5026162706481526,0.5437383705657913,0.0035154977444491245
16,tmc13_amphoriskos_vox10_dec_geom05_text05_trisoup-predlift.ply,amphoriskos_vox10.ply,3.1,0.9846895441559101,0.9985809391983734,0.9989039903940141,0.7315699339703841,0.6505819969132507,0.6239845910596501,0.926103254967806,0.9378350131721264,0.9128850731400171,0.7328672585018223,0.6397677430071005,0.664974331998375,0.7539815509166441,0.37253332003442036,0.3758518886374868,0.38433593357238366,0.184285837084162,0.3489260141870011,0.8529249499254169,0.4438927222542739,0.3925984190629118,0.5745414334507178,0.24485679650519246,0.37419099107394366,0.7479870255115999,0.6775269099100475,0.8028775055358238,0.999846979968944,1.0000732997024346,0.934536725392071,0.7620344118359611,0.5936799977695179,0.9945464599985627,0.9099903586483528,0.31185320653596826,0.7628163950258324,0.7763834225156843,0.5175611082994181,0.5213599137631878,0.00258198825377769
17,tmc13_amphoriskos_vox10_dec_geom06_text06_trisoup-predlift.ply,amphoriskos_vox10.ply,4.9,0.9983076313699536,0.999286744024612,0.9992847795759393,0.9703669750561428,0.8659385754360857,0.8101913676910837,0.025051955449567738,0.19896780506887785,0.29072765841865456,0.9702123827527569,0.8781727359066824,0.960440014134071,0.0,0.0,0.0,0.0,0.17724909554698393,0.35657248068451114,0.4870272816031108,0.17724909554698393,0.35657248068451114,3.163396571934828e-14,1.5695809543227257e-14,1.598156428345708e-14,1.0,1.0,1.0,6.114232020681374e-17,6.358312156776992e-17,7.443222579233784e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.1658054668542705e-17
18,tmc13_amphoriskos_vox10_dec_geom01_text01_trisoup-raht.ply,amphoriskos_vox10.ply,1.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,tmc13_amphoriskos_vox10_dec_geom02_text02_trisoup-raht.ply,amphoriskos_vox10.ply,1.625,0.9749590064442563,0.9919824562974507,0.9938433043422265,0.668413775164054,0.321743271464731,0.23504847332229115,0.9195071915816424,0.6285859192484454,0.4930703157283974,0.6891939435047155,0.3094942736629994,0.6333148019281619,0.7891554516934948,0.38189091041664347,0.385256456742201,0.4139841230076366,0.1908932574649457,0.28746377208271096,0.8961358851260679,0.4596678780918911,0.4400363264933537,0.6104514452076699,0.263034800644732,0.4030217701663503,0.7905173338105858,0.7217158741583333,0.6609760160443487,0.9998685673513785,1.0002403491778495,0.9472709062263953,0.7213243475485551,0.6567046313271326,0.9944239414434617,0.9154549148417712,0.29996435257179405,0.7825480436338821,0.7692246834771723,0.5026162706481526,0.5437383705657913,0.0035154977444491245
20,tmc13_amphoriskos_vox10_dec_geom03_text03_trisoup-raht.ply,amphoriskos_vox10.ply,2.05,0.9830206278733375,0.9952798660644353,0.996061282589423,0.7737053750875847,0.45952207413825225,0.35283444379318024,0.9418204044854668,0.7568924371000657,0.6405684995716666,0.7914593711356571,0.44643604584152113,0.7393173092054492,0.7891554516934948,0.38189091041664347,0.385256456742201,0.4139841230076366,0.1908932574649457,0.28746377208271096,0.8961358851260679,0.4596678780918911,0.4400363264933537,0.6104514452076699,0.263034800644732,0.4030217701663503,0.7905173338105858,0.7217158741583333,0.6609760160443487,0.9998685673513785,1.0002403491778495,0.9472709062263953,0.7213243475485551,0.6567046313271326,0.9944239414434617,0.9154549148417712,0.29996435257179405,0.7825480436338821,0.7692246834771723,0.5026162706481526,0.5437383705657913,0.0035154977444491245
21,tmc13_amphoriskos_vox10_dec_geom04_text04_trisoup-raht.ply,amphoriskos_vox10.ply,2.45,0.9852893757473549,0.9971901672591633,0.9975926486387404,0.8243338136800323,0.5903910576652039,0.4942907108756518,0.9370052843632967,0.8468964123728517,0.7697811423436749,0.8364513207258913,0.5890896681576009,0.7899400271181988,0.7891554516934948,0.38189091041664347,0.385256456742201,0.4139841230076366,0.1908932574649457,0.28746377208271096,0.8961358851260679,0.4596678780918911,0.4400363264933537,0.6104514452076699,0.263034800644732,0.4030217701663503,0.7905173338105858,0.7217158741583333,0.6609760160443487,0.9998685673513785,1.0002403491778495,0.9472709062263953,0.7213243475485551,0.6567046313271326,0.9944239414434617,0.9154549148417712,0.29996435257179405,0.7825480436338821,0.7692246834771723,0.5026162706481526,0.5437383705657913,0.0035154977444491245
22,tmc13_amphoriskos_vox10_dec_geom05_text05_trisoup-raht.ply,amphoriskos_vox10.ply,3.1,0.98389632943094,0.9981545715896598,0.9984916864321584,0.8101674102085563,0.6857845602492394,0.6105891378613179,0.9327168897023986,0.9031506108063395,0.8518911626838961,0.8181403106298946,0.6769240230028404,0.7685068185765728,0.7539815509166441,0.37253332003442036,0.3758518886374868,0.38433593357238366,0.184285837084162,0.3489260141870011,0.8529249499254169,0.4438927222542739,0.3925984190629118,0.5745414334507178,0.24485679650519246,0.37419099107394366,0.7479870255115999,0.6775269099100475,0.8028775055358238,0.999846979968944,1.0000732997024346,0.934536725392071,0.7620344118359611,0.5936799977695179,0.9945464599985627,0.9099903586483528,0.31185320653596826,0.7628163950258324,0.7763834225156843,0.5175611082994181,0.5213599137631878,0.00258198825377769
23,tmc13_amphoriskos_vox10_dec_geom06_text06_trisoup-raht.ply,amphoriskos_vox10.ply,4.725,0.9981850705668655,0.9990674541626287,0.9990554189423609,0.9678620655386991,0.8208586819880352,0.7461182084849098,0.035714484136797287,0.27766895141368414,0.37271042906917484,0.9675847323452251,0.8375566156432722,0.956541328524094,0.0,0.0,0.0,0.0,0.17724909554698393,0.35657248068451114,0.4870272816031108,0.17724909554698393,0.35657248068451114,3.163396571934828e-14,1.5695809543227257e-14,1.598156428345708e-14,1.0,1.0,1.0,6.114232020681374e-17,6.358312156776992e-17,7.443222579233784e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.1658054668542705e-17
24,tmc2_amphoriskos_vox10_dec_geom01_text01.ply,amphoriskos_vox10.ply,2.5,0.9810794344962559,0.993757000024659,0.9950197881962172,0.6258177139634546,0.4868725430450639,0.428874029485464,0.9448761983424521,0.8858640701476407,0.7917848010876686,0.6378280227503131,0.48825449227618534,0.5580734092300849,0.8701695316092739,0.38476439683475444,0.39610282445669814,0.507217543125845,0.13954449201853644,0.29573108522871216,0.8924436125718996,0.4333393262419593,0.46938070483978844,0.6022335702711213,0.22912489015769233,0.4277874621005133,0.7868210643728538,0.7369431232171737,0.5093752910788198,0.9998462623325101,1.0003603533536913,0.9655370949442298,0.6654559365355018,0.6624786413990852,0.9867041096527083,0.9304900034038346,0.30864643918617324,0.6357737075343394,0.6211110587815236,0.4952704473968214,0.5484427217457698,0.010783414942410937
25,tmc2_amphoriskos_vox10_dec_geom02_text02.ply,amphoriskos_vox10.ply,3.475,0.9848162055435514,0.9952460939502077,0.9960922632044921,0.6940035622650057,0.5382857998536663,0.4848425488642751,0.9320055375505091,0.9029253561648894,0.8402166653240045,0.702850494652469,0.5537366351641608,0.6303307600743341,0.7794141559075771,0.36679178607735796,0.3750071294370119,0.41256832983852326,0.13596625343627483,0.28831539357836466,0.8246379061102114,0.41628300306992394,0.39532715226795834,0.5085860945756092,0.22409274738647675,0.31318189990788836,0.7896929131654717,0.7397431906782734,0.5484573174651721,0.9996189278424049,1.0007976581010374,0.9611787808472299,0.686157315065717,0.666752693543146,0.9901106632342723,0.9310390742895218,0.3081630825922291,0.6802393777358056,0.6661355900071524,0.49717222908450365,0.5479866202270932,0.007236238080545259
26,tmc2_amphoriskos_vox10_dec_geom03_text03.ply,amphoriskos_vox10.ply,3.6,0.9860854508733202,0.9963614289669963,0.9969207943630113,0.7395385471064807,0.5802792515109283,0.5309114337284544,0.9249999150503663,0.9134965394973187,0.8689785922923479,0.7448091967107523,0.5980059045301618,0.6798849194364113,0.7097253358614416,0.3504859636632242,0.3572642356051137,0.34149535820630733,0.1342796958803528,0.28492554009407517,0.7792294479227071,0.40305028246980823,0.3474618228365144,0.44904068834197886,0.221285379090407,0.23368174061557584,0.7898841165704964,0.7401294441479273,0.5972543870714826,0.999980675419629,1.0007373989863584,0.9518875944670487,0.707413269341315,0.6672237053834752,0.992823258648417,0.9311199876218765,0.3095993760743741,0.7306298236983633,0.7176878524007572,0.5004216750846995,0.5453088037362508,0.004550170130443011
27,tmc2_amphoriskos_vox10_dec_geom04_text04.ply,amphoriskos_vox10.ply,4.5,0.9855461478777316,0.9972619395676625,0.9976414675566343,0.7364365066510246,0.6060540395036758,0.5703358177303807,0.9234284282995003,0.9227998275541148,0.8907675890126255,0.7400242584787601,0.6191405542221631,0.6733887325611686,0.6631542630470755,0.3408616042216173,0.34527149012493974,0.2962764116889179,0.1364772748904444,0.2884523312430491,0.756266168743075,0.39667367158035266,0.3211182544081979,0.42432005204716533,0.22205832009284512,0.189507321390862,0.7631388887555535,0.7101234162229253,0.6602386438178919,0.999833177457719,1.0004373580045045,0.9447593898861252,0.7128064204117263,0.627202763356392,0.994540544744392,0.9276029574930882,0.3088382830496438,0.7916648370103815,0.782761376737798,0.502339776784161,0.5441149235199881,0.0029708799523248427
