,SIGNAL,REF,SCORE,FEATURE_1,FEATURE_2,FEATURE_3,FEATURE_4,FEATURE_5,FEATURE_6,FEATURE_7,FEATURE_8,FEATURE_9,FEATURE_10,FEATURE_11,FEATURE_12,FEATURE_13,FEATURE_14,FEATURE_15,FEATURE_16,FEATURE_17,FEATURE_18,FEATURE_19,FEATURE_20,FEATURE_21,FEATURE_22,FEATURE_23,FEATURE_24,FEATURE_25,FEATURE_26,FEATURE_27,FEATURE_28,FEATURE_29,FEATURE_30,FEATURE_31,FEATURE_32,FEATURE_33,FEATURE_34,FEATURE_35,FEATURE_36,FEATURE_37,FEATURE_38,FEATURE_39,FEATURE_40
0,tmc13_amphoriskos_vox10_dec_geom01_text01_octree-predlift.ply,amphoriskos_vox10.ply,1.0,0.8824282851638747,0.9770791329624984,0.9860170341306356,0.5076748931112598,0.3894439760229254,0.4079543669271473,0.9897894730509568,0.9742032748169556,0.898589227621697,0.5199764514260992,0.4691255146079305,0.4525571755922371,2.807167664751437,0.6644891846545767,0.6768092833092444,2.4988311568286505,0.7322240595419167,3.604230539494541,2.9412260523468405,0.9822870983911944,2.23296294615504,2.61311068703599,0.8045678741480891,2.079210497434301,0.0811433988915414,0.0912505016251113,0.055200823739813,1.0004399597241107,0.9988760235615972,0.960046708170672,0.0690210991646337,0.0379975846185983,0.9644038572704516,0.8874228307258929,0.3355828599929517,0.6101116183507244,0.6120796060083773,0.5082763527375901,0.5271782660930708,0.0218937975755368
1,tmc13_amphoriskos_vox10_dec_geom02_text02_octree-predlift.ply,amphoriskos_vox10.ply,1.5,0.928199305253817,0.9861717855648744,0.9910178550339264,0.5996983679850564,0.5131193039482761,0.5230472028835216,0.9685955490880364,0.982278307567768,0.9696088128308434,0.6092745689021681,0.6129488594023808,0.5446422906283833,1.4601729858312795,0.4724316596279616,0.4868454564605663,1.1537609694523678,0.3220987127248856,1.5651200915049954,1.4267193665526583,0.5709247737866743,0.9531579055895044,1.0483223297550002,0.3652492669836829,0.7747111399366632,0.265298120926633,0.2887735419377527,0.1598161042162583,0.9999535051683466,1.0005037656430205,0.9492976794915546,0.2249000811586755,0.1675472656009909,0.9861909535759078,0.9239432715743864,0.3282017000636904,0.63588106148492,0.6451153137247456,0.5102513739300605,0.5318848429381999,0.0068575512544296
2,tmc13_amphoriskos_vox10_dec_geom03_text03_octree-predlift.ply,amphoriskos_vox10.ply,2.9,0.9719877777005672,0.9941679067098635,0.9956863260832816,0.7723659847436198,0.6349609100250164,0.6134639660767004,0.9372525817512632,0.9637522638212676,0.953919166159016,0.7793797963607224,0.7128498725523268,0.7260365024150309,0.8635901220968448,0.3819842180412572,0.3743266337872943,0.5376585915530673,0.1960917961502319,0.6866833296746445,0.981836376153746,0.4314156955731457,0.5877643390074568,0.6346338879713964,0.2366639560799885,0.4586638977671823,0.66502832500473,0.7070574424373398,0.460995005765651,1.0008880837307084,1.0008240112743747,0.9219214313786518,0.602590366864175,0.5837089719689739,0.9942903127368358,0.9337356608774612,0.3596568864101673,0.7210389326452067,0.7369840003306264,0.5406903825068822,0.4877879675131162,0.0013686444079088
3,tmc13_amphoriskos_vox10_dec_geom04_text04_octree-predlift.ply,amphoriskos_vox10.ply,4.375,0.9879848061139754,0.9971268263285814,0.9976934377669882,0.8832285812967297,0.7309252285787253,0.6838146998873237,0.9192669177622604,0.9541705242591492,0.9481360556789596,0.8872057509412622,0.7850399607685437,0.8536149127431969,0.6179590524244086,0.285286338918608,0.31267239761494,0.328977886175775,0.1934033207080137,0.5027025545079675,0.7419187867305588,0.3656390012228375,0.4051185982273709,0.3628979202997919,0.1917646747961003,0.1595464145933923,0.863535052139367,0.90778932459043,0.6746923816892764,0.9988301615342507,0.9991916179735484,0.897926497635648,0.8124861003272125,0.8407908399045,0.9961933668626086,0.9380928669114538,0.4374579145316796,0.7759934647157316,0.7917402284121217,0.6117368814433237,0.3823448015036171,0.000510433453406
4,tmc13_amphoriskos_vox10_dec_geom05_text05_octree-predlift.ply,amphoriskos_vox10.ply,4.6,0.9935649676400607,0.9984615028564584,0.9987047492204052,0.9325681006815244,0.8022657868287792,0.7482104943119082,0.8951586668133946,0.9334549009308027,0.9304457514491564,0.9345480763050912,0.8337602486511113,0.9135506635041593,0.536219139103588,0.2345456765613672,0.2900620788106218,0.2793960226761526,0.1917971835084755,0.4456610454785615,0.6797228853912085,0.3472344418628912,0.3791571442136637,0.2774389289854173,0.147002218606891,0.0996184148727123,0.9317851958871434,0.963380207192314,0.8098329649673845,0.983005691806456,0.9760000057942676,0.8732488098652702,0.9053939373376434,0.9301361290705804,0.99734279283021,0.9466592467293274,0.5214759853068267,0.8463491530722455,0.8551119999604279,0.6788222915408516,0.2865836858853811,0.000768357973314
5,tmc13_amphoriskos_vox10_dec_geom06_text06_octree-predlift.ply,amphoriskos_vox10.ply,4.75,0.9958377788949996,0.9991550217548056,0.9992277420029532,0.9565856478819204,0.8652633252544433,0.8109225276164287,0.8729650300665617,0.9139811136092209,0.9103647991290784,0.9575449566282476,0.8778476649384103,0.9439598807666628,0.5070713169464784,0.2201620498851497,0.2750152410001112,0.2646677164728063,0.2067232856285495,0.4005092759969161,0.7651566156141545,0.4029089325591677,0.3904873218886348,0.3036982779728008,0.1419076356369721,0.1465457030054126,0.9595017045093918,0.97126045061222,0.9020674742738471,0.9596107805262724,0.959196951815975,0.8484074371224674,0.957271479497318,0.9616711095958582,0.9983114147663184,0.9559800422046684,0.5877428854993428,0.910020234535186,0.910388874375518,0.7245728773451985,0.2242559075264637,0.0011461798671904
6,tmc13_amphoriskos_vox10_dec_geom01_text01_octree-raht.ply,amphoriskos_vox10.ply,1.0,0.8794191293313542,0.9740002510700284,0.9843760383673829,0.3826945251556046,0.1717789938725449,0.1220649237255918,0.9028531408696752,0.542390368593564,0.3555616699487539,0.39475241601923,0.1546137745492799,0.3398535551678091,2.807167664751437,0.6644891846545767,0.6768092833092444,2.4988311568286505,0.7322240595419167,3.604230539494541,2.9412260523468405,0.9822870983911944,2.23296294615504,2.61311068703599,0.8045678741480891,2.079210497434301,0.0811433988915414,0.0912505016251113,0.055200823739813,1.0004399597241107,0.9988760235615972,0.960046708170672,0.0690210991646337,0.0379975846185983,0.9644038572704516,0.8874228307258929,0.3355828599929517,0.6101116183507244,0.6120796060083773,0.5082763527375901,0.5271782660930708,0.0218937975755368
7,tmc13_amphoriskos_vox10_dec_geom02_text02_octree-raht.ply,amphoriskos_vox10.ply,1.075,0.9264349219586466,0.9843635878096216,0.9895517482311544,0.5244066941566591,0.2835633650122294,0.2205668138811465,0.9697167037484362,0.7560767121119719,0.5736032741508861,0.5325348281667528,0.2757420471099867,0.4704711062323993,1.4601729858312795,0.4724316596279616,0.4868454564605663,1.1537609694523678,0.3220987127248856,1.5651200915049954,1.4267193665526583,0.5709247737866743,0.9531579055895044,1.0483223297550002,0.3652492669836829,0.7747111399366632,0.265298120926633,0.2887735419377527,0.1598161042162583,0.9999535051683466,1.0005037656430205,0.9492976794915546,0.2249000811586755,0.1675472656009909,0.9861909535759078,0.9239432715743864,0.3282017000636904,0.63588106148492,0.6451153137247456,0.5102513739300605,0.5318848429381999,0.0068575512544296
8,tmc13_amphoriskos_vox10_dec_geom03_text03_octree-raht.ply,amphoriskos_vox10.ply,2.025,0.9706394478733488,0.993333089221085,0.9947977427349126,0.7111595096636983,0.4307540983028542,0.3549926876463979,0.9447565097885564,0.8473197404558566,0.7493438540945005,0.7109659811814927,0.4448583623983584,0.6553990200333358,0.8635901220968448,0.3819842180412572,0.3743266337872943,0.5376585915530673,0.1960917961502319,0.6866833296746445,0.981836376153746,0.4314156955731457,0.5877643390074568,0.6346338879713964,0.2366639560799885,0.4586638977671823,0.66502832500473,0.7070574424373398,0.460995005765651,1.0008880837307084,1.0008240112743747,0.9219214313786518,0.602590366864175,0.5837089719689739,0.9942903127368358,0.9337356608774612,0.3596568864101673,0.7210389326452067,0.7369840003306264,0.5406903825068822,0.4877879675131162,0.0013686444079088
9,tmc13_amphoriskos_vox10_dec_geom04_text04_octree-raht.ply,amphoriskos_vox10.ply,3.7,0.9874244433408638,0.9966381323755666,0.9971664904331176,0.8492718351601837,0.5736071338860215,0.4948588750665592,0.9269908690868294,0.8812570171091961,0.8311628432797583,0.8473241255985214,0.5983314262233375,0.8106169958256964,0.6179590524244086,0.285286338918608,0.31267239761494,0.328977886175775,0.1934033207080137,0.5027025545079675,0.7419187867305588,0.3656390012228375,0.4051185982273709,0.3628979202997919,0.1917646747961003,0.1595464145933923,0.863535052139367,0.90778932459043,0.6746923816892764,0.9988301615342507,0.9991916179735484,0.897926497635648,0.8124861003272125,0.8407908399045,0.9961933668626086,0.9380928669114538,0.4374579145316796,0.7759934647157316,0.7917402284121217,0.6117368814433237,0.3823448015036171,0.000510433453406
