,Model,Pearson,Pearson p_value <= 0.05,Spearman,Spearman p_value <= 0.05
0,AdaBoostRegressor,0.5940428018205545,False,0.5808245915349846,False
1,BaggingRegressor,0.8652964659523231,False,0.4816183488170528,False
2,BayesianRidge,0.8976407359452343,False,0.9035159044010612,False
3,DecisionTreeRegressor,0.3662507721820587,False,0.35245932841903327,False
4,ElasticNet,0.9957604703933023,False,0.9899195928284114,False
5,ElasticNetCV,0.8682635047675572,False,0.9353712816730515,False
6,ExtraTreeRegressor,0.5863824828571975,False,0.5965054844015201,False
7,ExtraTreesRegressor,0.9227503133542578,False,0.9136274699718901,False
8,GammaRegressor,0.9959208784510398,False,0.982605282923443,False
9,GaussianProcessRegressor,0.9972276634322356,False,0.994677902526238,False
10,GradientBoostingRegressor,0.7791899833199756,False,0.9993078999018824,False
11,HistGradientBoostingRegressor,0.737029928490573,False,0.7851947529735057,False
12,HuberRegressor,0.9202823448745467,False,0.9976137035820045,False
13,KNeighborsRegressor,0.9973990658622369,False,0.9874291054379765,False
14,KernelRidge,0.8909245683847816,False,0.976001593996167,False
15,LGBMRegressor,0.8823886047089274,False,0.8843344075085421,False
16,Lars,0.37578542783329993,False,0.32862193089585967,False
17,LarsCV,0.32135562234686876,False,0.3049973714025437,False
18,Lasso,0.9996220782341332,False,0.991305371424893,False
19,LassoCV,0.9466313255220544,False,0.949737917898182,False
20,LassoLars,0.9996228156590281,False,0.991305371424893,False
21,LassoLarsCV,0.958655764360453,False,0.9215198468541572,False
22,LassoLarsIC,0.8595657014799178,False,0.9184430050724466,False
23,LinearRegression,0.8946373842597292,False,0.9551638705204899,False
24,LinearSVR,0.8031173974022923,False,0.9712985290740261,False
25,MLPRegressor,0.993596524152209,False,0.9220760696146375,False
26,NuSVR,0.9898518386889595,False,0.9819546176346696,False
27,OrthogonalMatchingPursuit,0.9923674999778437,False,0.9829171245333703,False
28,OrthogonalMatchingPursuitCV,0.9991381468705023,False,0.9749597060549478,False
29,PassiveAggressiveRegressor,0.9995410553178112,False,0.9340553215756804,False
30,PoissonRegressor,0.9944431327265908,False,0.9884562246809714,False
31,RANSACRegressor,0.3319648605597898,False,0.5206709094982876,False
32,RandomForestRegressor,0.9847617300158265,False,0.9007089123985869,False
33,Ridge,0.8909245683859892,False,0.976001593996167,False
34,RidgeCV,0.960151417871339,False,0.9414494941250067,False
35,SGDRegressor,0.9983105123224045,False,1.0,False
36,SVR,0.9955856740922825,False,0.9911473580005008,False
37,TransformedTargetRegressor,0.8946373842597292,False,0.9551638705204899,False
38,TweedieRegressor,0.995630648997472,False,0.9974167788781709,False
39,XGBRegressor,0.9995757472734221,False,0.8866083519208414,False
