,SIGNAL,REF,SCORE,FEATURE_1,FEATURE_2,FEATURE_3,FEATURE_4,FEATURE_5,FEATURE_6,FEATURE_7,FEATURE_8,FEATURE_9,FEATURE_10,FEATURE_11,FEATURE_12,FEATURE_13,FEATURE_14,FEATURE_15,FEATURE_16,FEATURE_17,FEATURE_18,FEATURE_19,FEATURE_20,FEATURE_21,FEATURE_22,FEATURE_23,FEATURE_24,FEATURE_25,FEATURE_26,FEATURE_27,FEATURE_28,FEATURE_29,FEATURE_30,FEATURE_31,FEATURE_32,FEATURE_33,FEATURE_34,FEATURE_35,FEATURE_36,FEATURE_37,FEATURE_38,FEATURE_39,FEATURE_40
0,bumbameuboi_pcl_high.ply,bumbameuboi_original.ply,4.52,0.976533819626804,0.9936396199316748,0.9941031911238842,0.8124918386582296,0.7936838096324003,0.802230382099255,0.9457874710433114,0.9438440198029169,0.9457422867401385,0.8206252161777379,0.8253305545680069,0.7875570901551718,0.0017554298667233352,0.0007683895515492318,0.000828719151711133,0.0010281782615417713,0.001153220666325749,0.001626105663591454,0.0025738053667883893,0.0013852427376626964,0.0012075757901514347,0.001757336164039701,0.0010111909174407533,0.0005141436821547126,0.6340560850415189,0.6667706987481055,0.30763518902587683,0.9981102181511238,0.9957288894303306,0.8294276882570075,0.4879912447812691,0.678294792391402,0.9924792616135274,0.9060027744727499,0.4232496356509973,0.4811956206589439,0.4905442555387075,0.5916853276459727,0.41039249649184495,0.0017410111529723544
1,bumbameuboi_pcl_medium.ply,bumbameuboi_original.ply,3.34,0.9512515454992498,0.9864728160814445,0.9873141588166293,0.6872959583708355,0.6612545265420251,0.6658887788732435,0.9702770965898909,0.9689294968447142,0.971098227177525,0.6912921676273432,0.6942467021027723,0.6472736522317373,0.0030789112254720422,0.0010849915969665836,0.001082460684484712,0.0023021827028677417,0.0014779668111558027,0.003467034135924621,0.00418119382943697,0.001964156518238926,0.0025380482264018077,0.0030229363665597027,0.001314571995724585,0.0018032880020619302,0.3464867910016492,0.3742599556592794,0.16469288673989818,1.0001272892454627,0.9942854361451428,0.8593060178419438,0.2595753787083686,0.4038480026277708,0.9804045355616772,0.8931329684484787,0.35457870109586304,0.4502829096280898,0.45517142155980383,0.5392833687016304,0.4823993058148219,0.00924431345064781
2,bumbameuboi_pcl_low.ply,bumbameuboi_original.ply,1.72,0.9198083222128103,0.9779849278310331,0.9781972594596879,0.5678029961199401,0.5521469115762422,0.5403037611875402,0.9858918805102437,0.9875846760404859,0.989619091811071,0.5704443218837143,0.5734181469245178,0.5226864296241,0.005765859895448506,0.0014624961983537752,0.0014851987669607686,0.004936886369571213,0.002852410583213542,0.008265653593325794,0.008645703638271059,0.003317974606163846,0.006351769964596878,0.007219396793369688,0.002279666406018345,0.005649975147162586,0.1434647917989228,0.15926900917004683,0.09411497219132112,1.0006228281532101,0.9908115281087587,0.9019069339271071,0.11393412182875932,0.1901073073732645,0.9536329277443552,0.8552989000865182,0.3601885262216216,0.46213284258627685,0.4603053810274363,0.5273743588759785,0.48876280456426496,0.03128640584444406
3,citiusp_pcl_high.ply,citiusp_original.ply,4.62,0.9876130087909428,0.998356969704622,0.9988582978749486,0.8710393297635929,0.867521308564884,0.8685776335447534,0.9386406225400655,0.9293480574049053,0.925907398623734,0.8737358652067211,0.9004941791432656,0.8473710617938823,0.0002075215698772892,9.669203236105474e-05,9.697719348454981e-05,0.00011929816362542822,0.00021222392619790712,0.00026469254237487675,0.000444854297137785,0.00024409279870740618,0.00022517860745101893,0.00014615606141858223,7.926658431135964e-05,4.9875634467406706e-05,0.6854737004984833,0.7069675579706103,0.5882969984336642,0.9813122308200787,0.9666958287547173,0.9071131465323776,0.6480021433718915,0.7130667226273332,0.9811254925507118,0.9049802868285365,0.5533708137577776,0.773301078379421,0.7699093834737389,0.6697636102156777,0.30115508527772306,0.01356850803401831
4,citiusp_pcl_medium.ply,citiusp_original.ply,4.28,0.9760268430519526,0.996398679044353,0.9976939570427276,0.7740825868653705,0.7560049082926926,0.761518560471036,0.9667230810024525,0.9543101009582651,0.9544146448696206,0.7785227277717716,0.8085999155542394,0.7374295877189593,0.00037560615568078934,0.0001584781198747409,0.00016118772662199543,0.00023855375702880893,0.0003645718780447777,0.0004871829916169141,0.0007539982917779828,0.00040976977535489036,0.0003913713343062155,0.00039170523787488093,0.00020681156374179312,0.00015996847507350245,0.4491959429344712,0.4712938097423532,0.4114958904553854,0.9919103800158732,0.9743579680456693,0.914618125274473,0.42801999211411607,0.4858006081552002,0.9522285021046486,0.8395528784313276,0.47660299747452567,0.7199878250935691,0.7084806260590505,0.5919165062893424,0.3802417142923187,0.04957679785639996
5,citiusp_pcl_low.ply,citiusp_original.ply,3.18,0.9593375385437997,0.9932490591014022,0.9959323371512987,0.6765775718518067,0.617860309457867,0.6346952483228491,0.9850968082240699,0.9765797381542988,0.9778933610205345,0.6820546134047556,0.6919807836701618,0.631907797511827,0.0006794385397113577,0.00025786579825425466,0.000269891043788989,0.00046478893486974964,0.0006971537124596661,0.0009415980463988605,0.0014127816640215293,0.0007636946019933803,0.0007444673469117478,0.0010331753390757166,0.0005470479461580695,0.000468596086436345,0.22323301959744074,0.2479298289202393,0.2435985714427766,0.9987900582981094,0.978422168354483,0.8992231142214688,0.22053909679302108,0.26537407360087917,0.8963726317221465,0.7558423308276596,0.3941569790532958,0.6499129840525067,0.6250741666465673,0.517178200824041,0.46432758771153304,0.11453962267862887
6,longdress_pcl_high.ply,longdress_original.ply,4.84,0.9972501232004657,0.9991768062323878,0.9990665610252564,0.9691002136852518,0.966395692227506,0.964612314072255,0.8980411260439433,0.8993921248949485,0.901458287563349,0.9710429234290953,0.9718967268933415,0.9608629397624529,0.0004673164277932862,0.00024034757123745412,0.00023645029263162182,0.00022976804665291958,0.0001537753777707117,0.0003661225129441628,0.0007159320608233623,0.00034712016269984245,0.0004081765177891199,0.0003177932900291112,0.00014952924138854915,0.00020112837059403453,0.9591796268066022,0.9583271953798151,0.9470511366999237,0.9881509877569439,0.9909366271357151,0.8870330415166802,0.9675447126984313,0.9690658326008726,0.9967439593907598,0.9468727420721278,0.47978427579732674,0.9508409881109147,0.9371508424722732,0.6613822669969732,0.3177651933522659,0.0016297962411313894
7,longdress_pcl_medium.ply,longdress_original.ply,4.64,0.9765307048122018,0.9925945877409068,0.9916125363195332,0.7210668013728991,0.6860941422103791,0.6688061676866712,0.959832061269957,0.955338082753718,0.9561120514707285,0.7158292123249557,0.699623352058241,0.6602166963464999,0.000697563094227709,0.0002844884735850512,0.00029720194472328824,0.0004612038608565873,0.00018059319549270563,0.0008341362564729703,0.0008813936502486613,0.0003475298715245553,0.0006068538333875435,0.0005254884532401494,0.00018405047869985225,0.00038391834760022336,0.4505983787990934,0.4874538396912761,0.3811350719023072,0.9992462686007706,0.9987864398206376,0.9283297754119386,0.4351855508380149,0.5015618761106527,0.9845988829532484,0.92169106180769,0.36250804206497084,0.832717538259729,0.8407921381113331,0.5477964847692403,0.47273741330640356,0.010565460795247505
8,longdress_pcl_low.ply,longdress_original.ply,3.62,0.9551268564247019,0.9847059750516228,0.9827053219921449,0.567183883629066,0.5209691022477739,0.49872754595249014,0.9866549266341084,0.9848870375106104,0.9840218660119787,0.5605669923858583,0.5345521015858002,0.504868393548382,0.0012694249661357353,0.000395052765000791,0.0004123750802176765,0.0010201653849356079,0.0004399110368743217,0.0019244232420502912,0.0018678759774138074,0.0006153790317355463,0.0014260909944692418,0.0015852088274187763,0.0004808888839744798,0.0012434108444545967,0.1473377202326685,0.16864880293859535,0.1317502038584376,0.9995806167433546,0.9995073947106689,0.9474955651758,0.14235251240830976,0.1900075523418875,0.9482677254139104,0.8650374229282694,0.3476201709663578,0.7421640723984969,0.7394463020270249,0.5170016370204239,0.5060458070559655,0.04386687482331548
9,ramos_pcl_high.ply,ramos_original.ply,4.74,0.9943144932783784,0.9992265937256547,0.9995848654091953,0.8644672877707575,0.8593522123892329,0.8849664611833933,0.9402723417148293,0.9544025770428222,0.9583986057211429,0.8751282837293517,0.9100355442530604,0.8225496470534962,0.00010073081963041973,4.799154894268244e-05,4.786602089069976e-05,5.611014154776873e-05,7.552413554132577e-05,0.0001669993029983073,0.0002222757044786881,9.433218923188447e-05,0.00014939385900310036,6.458623884093718e-05,3.3619803392358015e-05,2.66377748270315e-05,0.6381930898205652,0.6605419508152525,0.6551647037294214,0.984604034806086,0.9773173280715918,0.9206082266673576,0.6494923703271966,0.6692546178412376,0.9493644204075073,0.8825726542147039,0.5250991865915524,0.8793742559187917,0.8609149321192453,0.6403238801549366,0.3332479053955318,0.025090799604028
