,Model,Pearson,Pearson p_value <= 0.05,Spearman,Spearman p_value <= 0.05
0,AdaBoostRegressor,0.6494190853288873,False,0.23155083630649667,False
1,BaggingRegressor,0.9760756071296152,False,0.6495365859353149,False
2,BayesianRidge,0.9746413247783998,False,0.9109054915827712,False
3,DecisionTreeRegressor,0.23998069493911478,False,0.8591041912675079,False
4,ElasticNet,0.96567969844012,False,0.969840918185234,False
5,ElasticNetCV,0.9765553784809644,False,0.9568837944168936,False
6,ExtraTreeRegressor,0.10078179344937599,False,0.4184903335322212,False
7,ExtraTreesRegressor,0.9786770283565195,False,0.637137939898726,False
8,GammaRegressor,0.9427876887261322,False,0.8624265611158568,False
9,GaussianProcessRegressor,0.9848940422417185,False,0.9330656665723382,False
10,GradientBoostingRegressor,0.9273195450062139,False,0.8321365576015949,False
11,HistGradientBoostingRegressor,0.6633048189581001,False,0.2639087720252992,False
12,HuberRegressor,0.8784203424239976,False,0.9241211265829072,False
13,KNeighborsRegressor,0.9223442034764531,False,0.9850380614492855,False
14,KernelRidge,0.8404942043575039,False,0.9199160720361801,False
15,LGBMRegressor,0.9724564879567353,False,0.11425670806146468,False
16,Lars,0.6927077117247927,False,0.7266097726227281,False
17,LarsCV,0.2929958059170531,False,0.31431118030903393,False
18,Lasso,0.8821245379155087,False,0.8335862482841696,False
19,LassoCV,0.9217771695158359,False,0.4614113066018398,False
20,LassoLars,0.8792949562929733,False,0.7665902024122131,False
21,LassoLarsCV,0.9380109159634973,False,0.4659352215676824,False
22,LassoLarsIC,0.8848790741752094,False,0.76212145211627,False
23,LinearRegression,0.8444278639575803,False,0.792160741057584,False
24,LinearSVR,0.8892471991144406,False,0.9190544919021312,False
25,MLPRegressor,0.9395871004177284,False,0.8854345784904856,False
26,NuSVR,0.9640789361959431,False,0.9944500029810235,False
27,OrthogonalMatchingPursuit,0.9766082482745976,False,0.9534924934438898,False
28,OrthogonalMatchingPursuitCV,0.9660034549765514,False,0.7597689657184532,False
29,PassiveAggressiveRegressor,0.6853667631336751,False,0.8878257545226591,False
30,PoissonRegressor,0.7702990515410122,False,0.9482449069895748,False
31,RANSACRegressor,0.5933337858423351,False,0.7433230117708249,False
32,RandomForestRegressor,0.8406338838530099,False,0.9128983223403782,False
33,Ridge,0.8404942043572508,False,0.9199160720361801,False
34,RidgeCV,0.9340368554609692,False,0.7045931270742635,False
35,SGDRegressor,0.9815306664643746,False,0.8836562033790256,False
36,SVR,0.9608374831829205,False,0.9802755761597078,False
37,TransformedTargetRegressor,0.8444278639575803,False,0.792160741057584,False
38,TweedieRegressor,0.95977721599778,False,0.9994380956629176,False
39,XGBRegressor,0.6604499842816357,False,0.7648262395752248,False
