,Model,Pearson,Pearson p_value <= 0.05,Spearman,Spearman p_value <= 0.05
0,AdaBoostRegressor,0.9915986903126972,False,0.885315051361141,False
1,BaggingRegressor,0.9950287515802991,False,0.660910545444877,False
2,BayesianRidge,0.9597675294366917,False,1.0,False
3,DecisionTreeRegressor,0.8453328627420649,False,0.7444692268571412,False
4,ElasticNet,0.9829919496429893,False,0.9318686600859468,False
5,ElasticNetCV,0.9985237700511524,False,1.0,False
6,ExtraTreeRegressor,0.2289156197970263,False,0.3866374829091139,False
7,ExtraTreesRegressor,0.9406277011109534,False,1.0,False
8,GammaRegressor,0.9879339350272969,False,1.0,False
9,GaussianProcessRegressor,0.992435587593774,False,1.0,False
10,GradientBoostingRegressor,0.9443971008949297,False,0.9106042378175425,False
11,HistGradientBoostingRegressor,0.9885498841898513,False,0.5738399221693324,False
12,HuberRegressor,0.977879635316357,False,0.9516179981032347,False
13,KNeighborsRegressor,1.0,False,1.0,False
14,KernelRidge,0.9540696996028171,False,0.9468621599973519,False
15,LGBMRegressor,0.9440378182786551,False,0.6312356317909643,False
16,Lars,0.5130904319699735,False,0.5307724767501778,False
17,LarsCV,0.8960003918132192,False,0.6996207456337755,False
18,Lasso,0.9994189368359641,False,1.0,False
19,LassoCV,0.999254018016885,False,0.9343007181856754,False
20,LassoLars,0.9994189368359604,False,1.0,False
21,LassoLarsCV,0.9989403077520047,False,0.9343007181856754,False
22,LassoLarsIC,0.9972855691652517,False,1.0,False
23,LinearRegression,0.29406981338472116,False,0.365722610231657,False
24,LinearSVR,0.8958473357828078,False,1.0,False
25,MLPRegressor,0.9673354455134038,False,0.8856318864463064,False
26,NuSVR,0.9993763854306572,False,1.0,False
27,OrthogonalMatchingPursuit,0.9800541808473127,False,1.0,False
28,OrthogonalMatchingPursuitCV,0.9991516789648129,False,1.0,False
29,PassiveAggressiveRegressor,0.9514923660414942,False,0.9863463792451845,False
30,PoissonRegressor,0.9610337593596439,False,1.0,False
31,RANSACRegressor,0.2878427073594851,False,0.3601437359984767,False
32,RandomForestRegressor,0.958436568598426,False,0.97807785001009,False
33,Ridge,0.9540696996009592,False,0.9468621599973519,False
34,RidgeCV,0.9549835828141783,False,0.8434625721531036,False
35,SGDRegressor,0.9940110294339793,False,1.0,False
36,SVR,0.9996379351029805,False,1.0,False
37,TransformedTargetRegressor,0.29406981338472116,False,0.365722610231657,False
38,TweedieRegressor,0.9940242879879864,False,1.0,False
39,XGBRegressor,0.9426014713764774,False,0.8715855965263533,False
