,Model,p-value (Pearson),p_value ≤ 0.05 (Pearson),p-value (Spearman),p_value ≤ 0.05 (Spearman)
0,AdaBoostRegressor,0.9726864406829944,False,0.9077517443716465,False
1,BaggingRegressor,0.9871334212812103,False,0.811064420774102,False
2,BayesianRidge,0.9935666324596053,False,0.9615409341163542,False
3,DecisionTreeRegressor,0.6126728393045806,False,0.22953974804440794,False
4,ElasticNet,0.9921008498385234,False,0.9893507283857009,False
5,ElasticNetCV,0.9717483499363073,False,0.9132218453756801,False
6,ExtraTreeRegressor,0.3627458799426344,False,0.2684763298971862,False
7,ExtraTreesRegressor,0.9785351087817563,False,0.6314227246991124,False
8,GammaRegressor,0.9956802208858434,False,0.9417786588698789,False
9,GaussianProcessRegressor,0.9984778528886149,False,0.9949569931611183,False
10,GradientBoostingRegressor,0.918232321863684,False,0.9988912477246928,False
11,HistGradientBoostingRegressor,0.8990480725252663,False,0.8924558826737419,False
12,HuberRegressor,0.9697794646446933,False,0.9931156279522191,False
13,KNeighborsRegressor,0.9949786250360095,False,0.9393773104731167,False
14,KernelRidge,0.7757228201852426,False,0.8088985418184574,False
15,LGBMRegressor,0.8917734543857976,False,0.9768181448083606,False
16,Lars,0.802774177757587,False,0.9763090338269588,False
17,LarsCV,0.7578843466611329,False,0.7661336167587349,False
18,LassoCV,0.848106942976282,False,0.8570636970241385,False
19,LassoLarsCV,0.9293676555130718,False,0.9264220769517884,False
20,LassoLarsIC,0.9032553251395429,False,0.8772239291574002,False
21,LinearRegression,0.870282627993719,False,0.8209277890317206,False
22,LinearSVR,0.747474433041224,False,0.7914660292195179,False
23,MLPRegressor,0.9906857476267916,False,0.9985397240921872,False
24,NuSVR,0.9869164366675849,False,0.9529495540374779,False
25,OrthogonalMatchingPursuit,0.9938479291021001,False,0.9754328980630664,False
26,OrthogonalMatchingPursuitCV,0.9948962207978665,False,0.9995191619070759,False
27,PassiveAggressiveRegressor,0.8671760048998411,False,0.958484342427385,False
28,PoissonRegressor,0.9422279614960872,False,0.9519396157837532,False
29,RANSACRegressor,0.1853612420889366,False,0.16689934479559637,False
30,RandomForestRegressor,0.9648267403574029,False,0.9857965531765291,False
31,Ridge,0.775722820184768,False,0.8088985418184574,False
32,RidgeCV,0.9739584539715063,False,0.9716282741017186,False
33,SGDRegressor,0.9871620389838607,False,0.9807771220964282,False
34,SVR,0.9998354359516994,False,1.0,False
35,TransformedTargetRegressor,0.870282627993719,False,0.8209277890317206,False
36,TweedieRegressor,0.9973493769851565,False,0.9848663742710781,False
37,XGBRegressor,0.8209381181878007,False,0.8461282929741752,False
38,Lasso,0.9988127851133373,False,1.0,False
39,LassoLars,0.9988121205979072,False,1.0,False
