,Model,p-value (Pearson),p_value ≤ 0.05 (Pearson),p-value (Spearman),p_value ≤ 0.05 (Spearman)
0,AdaBoostRegressor,0.8732866462752435,False,0.8320540846702627,False
1,BaggingRegressor,0.8887542489271715,False,0.7990659949763247,False
2,BayesianRidge,0.8451604069298714,False,0.9736748946781917,False
3,DecisionTreeRegressor,0.9437494385076646,False,0.7641556955799267,False
4,ElasticNet,0.9958125160511144,False,0.9907863422888366,False
5,ElasticNetCV,0.869461584029753,False,0.8127842615644301,False
6,ExtraTreeRegressor,0.2979463997841223,False,0.855963199359321,False
7,ExtraTreesRegressor,0.8528832242226884,False,0.8284839599397216,False
8,GammaRegressor,0.8179076429948455,False,0.8276572374481186,False
9,GaussianProcessRegressor,0.8661223932921078,False,0.7635489561370771,False
10,GradientBoostingRegressor,0.8167595618531596,False,0.7862205045353718,False
11,HistGradientBoostingRegressor,0.8895396184271663,False,0.3381915799860912,False
12,HuberRegressor,0.8694995413821551,False,0.9793355942536051,False
13,KNeighborsRegressor,0.7292173982130812,False,0.6412871039096568,False
14,KernelRidge,0.85244720618123,False,0.9588245859772302,False
15,LGBMRegressor,0.8690601625240229,False,0.5701361159928731,False
16,Lars,0.638628944302241,False,0.7930829716293637,False
17,LarsCV,0.9545076913357418,False,0.9268952848766951,False
18,LassoCV,0.8764523539737659,False,0.7617493386230432,False
19,LassoLarsCV,0.8964225180885014,False,0.8246443041086517,False
20,LassoLarsIC,0.6903082775393183,False,0.8353325836870344,False
21,LinearRegression,0.7125562496982838,False,0.9001495210614376,False
22,LinearSVR,0.8340969226513962,False,0.9933466973351857,False
23,MLPRegressor,0.7954369736016955,False,0.3709327220909652,False
24,NuSVR,0.9044933142629448,False,0.9226678775639398,False
25,OrthogonalMatchingPursuit,0.394214208813752,False,0.8141149308032124,False
26,OrthogonalMatchingPursuitCV,0.9743924355733938,False,0.7648976703557726,False
27,PassiveAggressiveRegressor,0.7833839497036502,False,0.7795859594317139,False
28,PoissonRegressor,0.9197940776487163,False,0.8776140505245473,False
29,RANSACRegressor,0.27276043856107546,False,0.34870308629155466,False
30,RandomForestRegressor,0.9080549854058945,False,0.8464621879671992,False
31,Ridge,0.8524472061795126,False,0.9588245859772302,False
32,RidgeCV,0.7664524416150218,False,0.9511014638738788,False
33,SGDRegressor,0.9649418194934802,False,0.9895241573708258,False
34,SVR,0.9215515675448531,False,0.8377086591387672,False
35,TransformedTargetRegressor,0.7125562496982838,False,0.9001495210614376,False
36,TweedieRegressor,0.8782407294615373,False,0.8434785192154033,False
37,XGBRegressor,0.9445794135074834,False,0.6085493344527579,False
