,Model,p-value (Pearson),p_value ≤ 0.05 (Pearson),p-value (Spearman),p_value ≤ 0.05 (Spearman)
0,AdaBoostRegressor,0.9277506929145433,False,1.0,False
1,BaggingRegressor,0.816937309626114,False,0.7885433926808239,False
2,BayesianRidge,0.9973839180996238,False,1.0,False
3,DecisionTreeRegressor,0.37408155865792136,False,0.36448857580992655,False
4,ElasticNetCV,0.9843330655103412,False,1.0,False
5,ExtraTreeRegressor,1.0,False,1.0,False
6,ExtraTreesRegressor,0.9996536764080766,False,1.0,False
7,GammaRegressor,0.9992749443849943,False,1.0,False
8,GaussianProcessRegressor,0.9780178442333036,False,1.0,False
9,GradientBoostingRegressor,0.8156867852319538,False,0.3443529054672362,False
10,HuberRegressor,0.9941512724378363,False,1.0,False
11,KNeighborsRegressor,1.0,False,1.0,False
12,KernelRidge,0.9975125199029848,False,1.0,False
13,Lars,0.5437582936653309,False,0.5062838913348264,False
14,LarsCV,0.9608079695985956,False,1.0,False
15,LassoCV,0.966680846625922,False,1.0,False
16,LassoLarsCV,0.971994612102903,False,1.0,False
17,LinearRegression,0.9710237569707458,False,1.0,False
18,LinearSVR,0.9837969062532734,False,1.0,False
19,MLPRegressor,0.8784453803535696,False,0.9080495270644438,False
20,NuSVR,0.9959718098065862,False,1.0,False
21,OrthogonalMatchingPursuit,0.996253077345377,False,1.0,False
22,OrthogonalMatchingPursuitCV,0.9661182299734127,False,1.0,False
23,PassiveAggressiveRegressor,0.8679415207215441,False,1.0,False
24,PoissonRegressor,0.9975411650154056,False,1.0,False
25,RandomForestRegressor,0.8506527201925874,False,1.0,False
26,Ridge,0.9975125199031795,False,1.0,False
27,RidgeCV,0.9990926639063018,False,1.0,False
28,SGDRegressor,0.9969153857401671,False,1.0,False
29,SVR,0.996698949062402,False,1.0,False
30,TransformedTargetRegressor,0.9710237569707458,False,1.0,False
31,TweedieRegressor,0.9988520278167476,False,1.0,False
32,XGBRegressor,0.7658128805295351,False,1.0,False
33,ElasticNet,0.9986631554570373,False,,False
34,Lasso,,False,,False
35,LassoLars,,False,,False
