,Model,p-value (Pearson),p_value ≤ 0.05 (Pearson),p-value (Spearman),p_value ≤ 0.05 (Spearman)
0,AdaBoostRegressor,0.696066461744983,False,0.9999999999999944,False
1,BaggingRegressor,0.9326057092039229,False,,False
2,BayesianRidge,0.9157098491538386,False,,False
3,DecisionTreeRegressor,0.38196861202526755,False,0.38279139785232785,False
4,ElasticNet,0.9987287370973197,False,,False
5,ElasticNetCV,0.9916202264383835,False,,False
6,ExtraTreeRegressor,1.0,False,1.0,False
7,ExtraTreesRegressor,0.9140188060287692,False,,False
8,GammaRegressor,0.996878860366581,False,,False
9,GaussianProcessRegressor,0.9748718738659906,False,1.0,False
10,GradientBoostingRegressor,0.7096213053173515,False,0.34089313230205986,False
11,HuberRegressor,0.7604302617232924,False,1.0,False
12,KNeighborsRegressor,1.0,False,1.0,False
13,KernelRidge,0.9754125201477387,False,,False
14,Lars,0.14376536869314457,False,0.13639712771077656,False
15,LarsCV,0.7602260431675872,False,,False
16,LassoCV,0.6362364135036293,False,,False
17,LassoLarsCV,0.9682119832158056,False,,False
18,LinearRegression,0.9163350060361448,False,,False
19,LinearSVR,0.9749181857309059,False,,False
20,MLPRegressor,0.924323141503269,False,1.0,False
21,NuSVR,0.9995493913507167,False,1.0,False
22,OrthogonalMatchingPursuit,0.9932258495842188,False,1.0,False
23,OrthogonalMatchingPursuitCV,0.8583565142447402,False,,False
24,PassiveAggressiveRegressor,0.5236981781123773,False,1.0,False
25,PoissonRegressor,0.9925469566577654,False,,False
26,RandomForestRegressor,0.8138561313581298,False,,False
27,Ridge,0.9754125201485777,False,,False
28,RidgeCV,0.991766167296144,False,,False
29,SGDRegressor,0.9810960605712374,False,,False
30,SVR,0.9995760277096226,False,1.0,False
31,TransformedTargetRegressor,0.9163350060361448,False,,False
32,TweedieRegressor,0.9991053610829255,False,,False
33,XGBRegressor,0.8241064613247112,False,0.34089313230205964,False
34,Lasso,,False,,False
35,LassoLars,,False,,False
