,SIGNAL,REF,SCORE,FEATURE_1,FEATURE_2,FEATURE_3,FEATURE_4,FEATURE_5,FEATURE_6,FEATURE_7,FEATURE_8,FEATURE_9,FEATURE_10,FEATURE_11,FEATURE_12,FEATURE_13,FEATURE_14,FEATURE_15,FEATURE_16,FEATURE_17,FEATURE_18,FEATURE_19,FEATURE_20,FEATURE_21,FEATURE_22,FEATURE_23,FEATURE_24,FEATURE_25,FEATURE_26,FEATURE_27,FEATURE_28,FEATURE_29,FEATURE_30,FEATURE_31,FEATURE_32,FEATURE_33,FEATURE_34,FEATURE_35,FEATURE_36,FEATURE_37,FEATURE_38,FEATURE_39,FEATURE_40
0,redandblack_0.ply,redandblack.ply,8.1670918367347,0.9937484376502437,0.9992699975299179,0.9981554657424189,0.923150074764734,0.9090203258350174,0.891645373028459,0.824563703397357,0.8277167567240272,0.842602223058668,0.9248553976170837,0.9221316918933274,0.8611120136306349,0.104681439386959,0.048766576078726365,0.03498918602504885,0.07005520224731497,0.2453337069661571,0.4434263291672307,0.6053871999072705,0.26181796076805786,0.40444763450770366,0.33584124661244913,0.21896480612481578,0.0956750129442141,0.8932106261726382,0.9475531317253341,0.862946188008139,0.9197935050631112,0.9138829139466923,0.7884517787378259,0.9074408015244589,0.8793334515701126,0.9931368660824705,0.9164205320938194,0.39398686504074015,0.9042847347625389,0.9036744676139937,0.6072455165093226,0.39448366815964686,0.003361387565712378
1,redandblack_1.ply,redandblack.ply,6.45,0.9918229360919102,0.9990093278112147,0.9972937355303192,0.8694633496534225,0.8761866776628572,0.8377397754267032,0.9218163576227628,0.9270281294202084,0.9244463186722286,0.8674190136658769,0.8762329354319891,0.7777201887608611,0.2207237430674469,0.09155371730188239,0.07945284255422726,0.1528487780355646,0.19515336121144483,0.5245162083066285,0.6337027436359264,0.23595116295050259,0.43701492251034013,0.33564278546900717,0.16856231100092645,0.16320528262968287,0.7906788398181348,0.8496775742030523,0.7240516136667247,0.9936726257709065,0.991078082776684,0.8998901150785477,0.7881648633952733,0.7177734803776492,0.9885228388140382,0.9161368550470615,0.39581690096628713,0.8495559046519544,0.8574469163089014,0.5963818640662204,0.40111809460885134,0.006842086774720909
2,redandblack_2.ply,redandblack.ply,6.734375,0.9892502981777914,0.9987048635468941,0.9961156907442931,0.8181370991071354,0.8430646254412675,0.7857374596075295,0.9380141710916823,0.9453587880895563,0.935676945375861,0.8115682184075985,0.8310034553721307,0.7045500088603908,0.32670975710950345,0.1199748047808997,0.12391302843369086,0.2323670978862095,0.2195671675073468,0.6081319510318453,0.7127955237803463,0.2865764981316291,0.47496042252970766,0.40126278569638674,0.1963854569040646,0.20702541108139366,0.6945886994893872,0.75648984380483,0.613235907784346,0.9965457200278304,0.994771814766713,0.9140869790282887,0.686749022310969,0.5856067894235283,0.984888309684519,0.9065150153253858,0.3621644850499408,0.8185796085241717,0.8286249894794671,0.5664080433597855,0.4434842237665681,0.0093933260316247
3,redandblack_3.ply,redandblack.ply,4.9,0.984859650278511,0.998192718876933,0.9941495071174504,0.7421186546135898,0.7924021750272987,0.7092471574807525,0.9522260287619787,0.9610885660925171,0.9459887391394984,0.7303956799214544,0.7627890036774851,0.6091539923380739,0.4642841058940695,0.16712193974236972,0.1725475418503287,0.3372451975272202,0.22020483272228475,0.7639494658266861,0.8081573962247026,0.31186937913057977,0.5541694977703581,0.4550426083633498,0.19908432391689068,0.27136759564065294,0.5569012421358065,0.6064704633664956,0.45183579358010323,0.9975420931018767,0.9950400595375188,0.9191481257361771,0.5339427417862571,0.4100135774134068,0.978798182172535,0.9040422362615308,0.3701132375139246,0.7705727490040067,0.7801114880330073,0.5619009096275969,0.4481619647776384,0.01288379199200535
4,redandblack_4.ply,redandblack.ply,6.28698979591837,0.9780675488814391,0.997400661460158,0.9911782416385907,0.6497498449921172,0.7229969878983066,0.6191813721904026,0.9664523858458299,0.9738229700216297,0.9596802911776129,0.6332559526032814,0.6780157966268205,0.5105471959111015,0.6377517538911354,0.21673539132534458,0.22777670615386714,0.47924188725305916,0.3577244499917154,0.9634629252412273,1.1075721006147765,0.4604363174318164,0.7181882986818878,0.810322331947602,0.3443258110842784,0.5041853944719878,0.3832787622941201,0.43637299263094576,0.35211664170337587,0.9984795998462139,0.9952293760132798,0.9256844064987143,0.3838830176533384,0.2386177827767488,0.9704836205708264,0.8788642137963428,0.3311290501635688,0.8085905637540993,0.8122464951972682,0.53528523283435,0.4816196423957914,0.024291223045295515
5,redandblack_5.ply,redandblack.ply,3.7578125,0.9666893173814464,0.9960193059331302,0.9866570457052753,0.5252920377680425,0.6150399405872411,0.5023317714944935,0.9824396288282524,0.9870758558774206,0.9785625580526984,0.5104919530564,0.5574855969216408,0.4036448388468928,0.974943294512263,0.2898429117481027,0.32040924581463875,0.7844183206837742,0.4649861989291867,1.617743152116734,1.659961243029078,0.5927205739661581,1.221361560247054,1.3691384604421233,0.4684865599809444,1.0087402509510341,0.19264153810242782,0.2218614949463725,0.16701517752846476,1.0002983194317079,0.9986814326473201,0.9404813879736349,0.1858679001981622,0.09045882214062498,0.9453016123165697,0.8559859255605288,0.3418694016985786,0.7466273588839114,0.745505428278362,0.5227914815400351,0.4953272749226402,0.04593938680773609
6,redandblack_6.ply,redandblack.ply,9.39285714285714,0.9988546919885011,0.9995508411888525,0.9996167342234824,0.8848957588606665,0.6967607733017706,0.71566431313782,0.10447194663756197,0.2686484753064085,0.24574846126257538,0.8535417947846047,0.7547272757693783,0.7847157612366777,0.0,0.0,0.0,0.0,0.11133180517238159,0.38104150224904415,0.4419064699069157,0.11133180517238159,0.38104150224904415,3.045494472438075e-14,1.58405439373759e-14,1.3632569714102492e-14,1.0,1.0,1.0,9.220148705973208e-17,9.592063778096547e-17,7.091611495604027e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9956455132328396,0.004354486767160449,1.142377075547292e-17
7,redandblack_7.ply,redandblack.ply,7.60833333333333,0.9938519050155926,0.997688861982851,0.9980349681990799,0.4533628897639772,0.16510298733456333,0.3611070918453065,0.478886435923713,0.7391859488664778,0.5759451947117995,0.43040448689670785,0.27870150544485744,0.3858266528026227,0.0,0.0,0.0,0.0,0.11133180517238159,0.38104150224904415,0.4419064699069157,0.11133180517238159,0.38104150224904415,3.045494472438075e-14,1.58405439373759e-14,1.3632569714102492e-14,1.0,1.0,1.0,9.220148705973208e-17,9.592063778096547e-17,7.091611495604027e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9956455132328396,0.004354486767160449,1.142377075547292e-17
8,redandblack_8.ply,redandblack.ply,7.24744897959184,0.9899028429758163,0.9964317350193226,0.9969212755043629,0.3220228907145191,0.08987057323900675,0.2892055529380523,0.5972078496087156,0.8243317371337001,0.6530041449053278,0.31500536480386854,0.1832515606407226,0.2779349563210485,0.0,0.0,0.0,0.0,0.11133180517238159,0.38104150224904415,0.4419064699069157,0.11133180517238159,0.38104150224904415,3.045494472438075e-14,1.58405439373759e-14,1.3632569714102492e-14,1.0,1.0,1.0,9.220148705973208e-17,9.592063778096547e-17,7.091611495604027e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9956455132328396,0.004354486767160449,1.142377075547292e-17
9,redandblack_9.ply,redandblack.ply,6.53125,0.9845379466422669,0.9950143297133955,0.9955493325474035,0.23517743982079103,0.05373341059669969,0.2358569640304427,0.6816915546549899,0.8733291061396345,0.7102354521849715,0.23611837720470388,0.1265279876902819,0.20410964483797014,0.0,0.0,0.0,0.0,0.11133180517238159,0.38104150224904415,0.4419064699069157,0.11133180517238159,0.38104150224904415,3.045494472438075e-14,1.58405439373759e-14,1.3632569714102492e-14,1.0,1.0,1.0,9.220148705973208e-17,9.592063778096547e-17,7.091611495604027e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9956455132328396,0.004354486767160449,1.142377075547292e-17
10,redandblack_10.ply,redandblack.ply,5.515625,0.9774801904426536,0.9935470060790955,0.9939288786346708,0.1763817423821976,0.03485961553606112,0.1937564385849243,0.7431847337525338,0.9039195785545485,0.7545971992943276,0.1804497518364312,0.09090119902998375,0.1522760356062578,0.0,0.0,0.0,0.0,0.11133180517238159,0.38104150224904415,0.4419064699069157,0.11133180517238159,0.38104150224904415,3.045494472438075e-14,1.58405439373759e-14,1.3632569714102492e-14,1.0,1.0,1.0,9.220148705973208e-17,9.592063778096547e-17,7.091611495604027e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9956455132328396,0.004354486767160449,1.142377075547292e-17
11,redandblack_11.ply,redandblack.ply,4.78076923076923,0.9683307585496979,0.9919936800746643,0.9920267143597284,0.135477029133688,0.02398504568518964,0.159532197570564,0.7896770685932936,0.9248503000376981,0.7908684510836059,0.13996592029916657,0.06723298413233894,0.11498683085569553,0.0,0.0,0.0,0.0,0.11133180517238159,0.38104150224904415,0.4419064699069157,0.11133180517238159,0.38104150224904415,3.045494472438075e-14,1.58405439373759e-14,1.3632569714102492e-14,1.0,1.0,1.0,9.220148705973208e-17,9.592063778096547e-17,7.091611495604027e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9956455132328396,0.004354486767160449,1.142377075547292e-17
12,redandblack_12.ply,redandblack.ply,7.76730769230769,0.9966494105915318,0.9995533906359867,0.9987799188259873,0.9386636945581157,0.9497295487946019,0.9345224831782051,0.9242732701102454,0.9179549060769373,0.9240461202435087,0.940372255338578,0.9492105886257995,0.8894271522447559,0.0,0.0,0.0,0.0,0.1520037453427337,0.39916105069815905,0.4928412810697594,0.1520037453427337,0.39916105069815905,0.19023020804768623,0.1188901960950107,0.03866617760126001,0.898893190565634,0.9469043818857473,0.9506873924350518,1.0103474322432968,1.008057503751498,0.8809403287048365,0.937233795294763,0.8750987099753911,0.9952909255592683,0.9389505884773003,0.42011395263494955,0.9368491102596087,0.9165944889232644,0.6139123696251453,0.3825931089388234,0.0013659160230854834
