,Model,p-value (Pearson),p_value ≤ 0.05 (Pearson),p-value (Spearman),p_value ≤ 0.05 (Spearman)
0,AdaBoostRegressor,0.7450974667243118,False,0.7361909695695819,False
1,BaggingRegressor,0.8143032803809311,False,0.9899369899849761,False
2,BayesianRidge,0.9718996501510561,False,0.9499033390232845,False
3,DecisionTreeRegressor,0.2892539868682962,False,0.6749971821807523,False
4,ElasticNet,0.95254004696639,False,0.9925451810930931,False
5,ElasticNetCV,0.913399023449311,False,0.7365311509727486,False
6,ExtraTreeRegressor,0.8595834664750439,False,0.2019055633066262,False
7,ExtraTreesRegressor,0.8137747496917292,False,0.7727982374303025,False
8,GammaRegressor,0.9698050512174019,False,0.8291630159373079,False
9,GaussianProcessRegressor,0.9126953736892593,False,0.9096951546473606,False
10,GradientBoostingRegressor,0.8327999415191397,False,0.1642051131794494,False
11,HistGradientBoostingRegressor,0.6798068146095686,False,0.32429934288807966,False
12,HuberRegressor,0.9503295868576851,False,0.9166265712616514,False
13,KNeighborsRegressor,0.9340709605108564,False,0.9857295659438031,False
14,KernelRidge,0.8627281108603833,False,0.9447163608232445,False
15,LGBMRegressor,0.7039802928629524,False,0.37564750143648284,False
16,Lars,0.7518869701530095,False,0.22773651480991083,False
17,LarsCV,0.6435788824733624,False,0.7399254683329075,False
18,Lasso,0.9345383599364823,False,0.9774595914401354,False
19,LassoCV,0.9719112337118394,False,0.6817112605437256,False
20,LassoLars,0.9101873105919357,False,0.9297935494965183,False
21,LassoLarsCV,0.9872419872275247,False,0.6491847349521818,False
22,LassoLarsIC,0.90684869508852,False,0.5001051881687093,False
23,LinearRegression,0.9429494113742047,False,0.7784597810106072,False
24,LinearSVR,0.9173243737800999,False,0.9958099627171217,False
25,MLPRegressor,0.9731164113829969,False,0.9984284740919875,False
26,NuSVR,0.9622504893719996,False,0.9805553471370934,False
27,OrthogonalMatchingPursuit,0.9934708272658042,False,0.9376303645645649,False
28,OrthogonalMatchingPursuitCV,0.967383257949217,False,0.996072070779795,False
29,PassiveAggressiveRegressor,0.951173791478322,False,0.9373000279229609,False
30,PoissonRegressor,0.9714188437908065,False,0.9634506059314132,False
31,RANSACRegressor,0.7843544045284391,False,0.4589877253863407,False
32,RandomForestRegressor,0.8421505674679018,False,0.5572650642537631,False
33,Ridge,0.8627281108604062,False,0.9447163608232445,False
34,RidgeCV,0.9933800369032159,False,0.9245302680640575,False
35,SGDRegressor,0.9928178421473144,False,0.937725273380475,False
36,SVR,0.9592200826472896,False,0.9828499396913548,False
37,TransformedTargetRegressor,0.9429494113742047,False,0.7784597810106072,False
38,TweedieRegressor,0.9551419140127604,False,0.9660721369181484,False
39,XGBRegressor,0.8322881911866284,False,0.6226055742077042,False
