,Model,p-value (Pearson),p_value ≤ 0.05 (Pearson),p-value (Spearman),p_value ≤ 0.05 (Spearman)
0,AdaBoostRegressor,0.6494190853288875,False,0.23155083630649667,False
1,BaggingRegressor,0.9760756071296153,False,0.6495365859353149,False
2,BayesianRidge,0.9746413247783985,False,0.910905491582773,False
3,DecisionTreeRegressor,0.23998069493911478,False,0.8591041912675079,False
4,ElasticNet,0.96567969844012,False,0.9698409181852372,False
5,ElasticNetCV,0.9765553784809647,False,0.9568837944168936,False
6,ExtraTreeRegressor,0.10078179344937599,False,0.4184903335322222,False
7,ExtraTreesRegressor,0.9786770283565195,False,0.637137939898726,False
8,GammaRegressor,0.9427876887261237,False,0.8624265611158572,False
9,GaussianProcessRegressor,0.9848940422417283,False,0.9330656665723382,False
10,GradientBoostingRegressor,0.9273195450062139,False,0.8321365576015949,False
11,HistGradientBoostingRegressor,0.6633048189581005,False,0.2639087720252989,False
12,HuberRegressor,0.8824419595223535,False,0.9201960885294381,False
13,KNeighborsRegressor,0.9223442034764527,False,0.9850380614492855,False
14,KernelRidge,0.8404942043572444,False,0.9199160720361796,False
15,LGBMRegressor,0.9724564879567353,False,0.11425670806146457,False
16,Lars,0.6927077117248058,False,0.7266097726227281,False
17,LarsCV,0.29299580591705293,False,0.3143111803090342,False
18,Lasso,0.8821245379155087,False,0.8335862482841693,False
19,LassoCV,0.9217771695158359,False,0.4614113066018398,False
20,LassoLars,0.8792949562930436,False,0.766590202412213,False
21,LassoLarsCV,0.9380109159635018,False,0.4659352215676824,False
22,LassoLarsIC,0.8848790741752144,False,0.7621214521162682,False
23,LinearRegression,0.8444278639575775,False,0.7921607410575838,False
24,LinearSVR,0.8892471991144406,False,0.9190544919021312,False
25,MLPRegressor,0.9395871004177284,False,0.8854345784904856,False
26,NuSVR,0.9640789361959432,False,0.9944500029810242,False
27,OrthogonalMatchingPursuit,0.9766082482745979,False,0.9534924934438898,False
28,OrthogonalMatchingPursuitCV,0.966003454976551,False,0.7597689657184545,False
29,PassiveAggressiveRegressor,0.6853667631336751,False,0.887825754522659,False
30,PoissonRegressor,0.7702254800402684,False,0.9465270190279751,False
31,RANSACRegressor,0.5933337858423353,False,0.7433230117708255,False
32,RandomForestRegressor,0.84063388385301,False,0.9128983223403782,False
33,Ridge,0.8404942043572485,False,0.9199160720361796,False
34,RidgeCV,0.9340368554609157,False,0.7045931270742641,False
35,SGDRegressor,0.9815306664643748,False,0.8836562033790238,False
36,SVR,0.9608374831829207,False,0.9802755761597078,False
37,TransformedTargetRegressor,0.8444278639575775,False,0.7921607410575838,False
38,TweedieRegressor,0.9597772159973313,False,0.9994380956629136,False
39,XGBRegressor,0.6604499842816357,False,0.7648262395752246,False
