,Model,p-value (Pearson),p_value ≤ 0.05 (Pearson),p-value (Spearman),p_value ≤ 0.05 (Spearman)
0,AdaBoostRegressor,0.7895602737938161,False,0.6581521249630913,False
1,BaggingRegressor,0.9789319698973791,False,0.7424600616673257,False
2,BayesianRidge,0.9587838390302124,False,0.9745243447350718,False
3,DecisionTreeRegressor,0.8653728193968377,False,0.5716408672770813,False
4,ElasticNet,0.9864818020616644,False,0.9814730320068987,False
5,ElasticNetCV,0.9567925632012526,False,1.0,False
6,ExtraTreeRegressor,0.17827502353291722,False,0.3500022422205027,False
7,ExtraTreesRegressor,0.9921013349020028,False,0.9847651469711054,False
8,GammaRegressor,0.9902842672912457,False,1.0,False
9,GaussianProcessRegressor,0.996695454821191,False,1.0,False
10,GradientBoostingRegressor,0.9640024182055855,False,0.8977454012006796,False
11,HistGradientBoostingRegressor,0.9948360482821177,False,0.7541315794011875,False
12,HuberRegressor,0.8433669686506529,False,0.7949504835608481,False
13,KNeighborsRegressor,1.0,False,1.0,False
14,KernelRidge,0.9526515854259432,False,0.9371147967977804,False
15,LGBMRegressor,0.9712525764105101,False,0.8535196184433883,False
16,Lars,0.3347106898905363,False,0.28943198225488836,False
17,LarsCV,0.8770491397387068,False,0.9736883232699758,False
18,Lasso,0.9988087488776538,False,1.0,False
19,LassoCV,0.9574054839687643,False,0.8944075279127832,False
20,LassoLars,0.9988087488776538,False,1.0,False
21,LassoLarsCV,0.923468777381913,False,0.8941100126884306,False
22,LinearRegression,0.6162014151274511,False,0.6967304118299726,False
23,LinearSVR,0.908458628603755,False,1.0,False
24,MLPRegressor,0.9975913871013362,False,0.8705946196640549,False
25,NuSVR,0.9997505463465435,False,1.0,False
26,OrthogonalMatchingPursuit,0.9782739048441156,False,0.9841640663523,False
27,OrthogonalMatchingPursuitCV,0.9984744248737991,False,1.0,False
28,PassiveAggressiveRegressor,0.9510742656097442,False,0.9879434455416742,False
29,PoissonRegressor,0.9706288834134371,False,1.0,False
30,RandomForestRegressor,0.9481793909188176,False,0.9319897627005316,False
31,Ridge,0.9526515854231825,False,0.9371147967977804,False
32,RidgeCV,0.9542879544670373,False,0.8075068062181738,False
33,SGDRegressor,0.9924437952283982,False,1.0,False
34,SVR,0.999853781419639,False,1.0,False
35,TransformedTargetRegressor,0.6162014151274511,False,0.6967304118299726,False
36,TweedieRegressor,0.9935323399836067,False,1.0,False
37,XGBRegressor,0.9474367255123297,False,0.8651368037436385,False
38,LassoLarsIC,0.9850898017383041,False,1.0,False
39,RANSACRegressor,0.6102638612228816,False,0.6975630012670739,False
