,Model,p-value (Pearson),p_value ≤ 0.05 (Pearson),p-value (Spearman),p_value ≤ 0.05 (Spearman)
0,AdaBoostRegressor,0.9915986903126972,False,0.8853150513611441,False
1,BaggingRegressor,0.9950287515802947,False,0.660910545444877,False
2,BayesianRidge,0.9597675294366917,False,1.0,False
3,DecisionTreeRegressor,0.8453328627420649,False,0.7444692268571385,False
4,ElasticNet,0.9829919496429627,False,0.9318686600859468,False
5,ElasticNetCV,0.9985237700511611,False,1.0,False
6,ExtraTreeRegressor,0.2289156197970263,False,0.3866374829091126,False
7,ExtraTreesRegressor,0.9406277011109635,False,1.0,False
8,GammaRegressor,0.9879339350273076,False,1.0,False
9,GaussianProcessRegressor,0.9924355875937757,False,1.0,False
10,GradientBoostingRegressor,0.9443971008949248,False,0.910604237817545,False
11,HistGradientBoostingRegressor,0.988549884189849,False,0.5738399221693289,False
12,HuberRegressor,0.9778796353163598,False,0.9516179981032338,False
13,KNeighborsRegressor,1.0,False,1.0,False
14,KernelRidge,0.9540696996028205,False,0.9468621599973577,False
15,LGBMRegressor,0.9440378182786551,False,0.6312356317909643,False
16,Lars,0.5130904319699736,False,0.5307724767501778,False
17,Lasso,0.9994189368359641,False,1.0,False
18,LassoCV,0.9992540180168799,False,0.9343007181856718,False
19,LassoLars,0.9994189368359604,False,1.0,False
20,LassoLarsCV,0.9989403077519947,False,0.9343007181856718,False
21,LassoLarsIC,0.9972855691652405,False,1.0,False
22,LinearRegression,0.29406981338472116,False,0.365722610231657,False
23,LinearSVR,0.8958473357828078,False,1.0,False
24,MLPRegressor,0.9673354455133993,False,0.8856318864463064,False
25,NuSVR,0.9993763854306572,False,1.0,False
26,OrthogonalMatchingPursuit,0.9800541808473127,False,1.0,False
27,OrthogonalMatchingPursuitCV,0.9991516789648129,False,1.0,False
28,PassiveAggressiveRegressor,0.9514923660414936,False,0.9863463792451836,False
29,PoissonRegressor,0.9610337593596427,False,1.0,False
30,RANSACRegressor,0.2878427073594851,False,0.36014373599847693,False
31,RandomForestRegressor,0.9584365685984318,False,0.97807785001009,False
32,Ridge,0.9540696996009559,False,0.9468621599973577,False
33,RidgeCV,0.9549835828140538,False,0.8434625721531036,False
34,SGDRegressor,0.9940110294339793,False,1.0,False
35,SVR,0.9996379351029805,False,1.0,False
36,TransformedTargetRegressor,0.29406981338472116,False,0.365722610231657,False
37,TweedieRegressor,0.9940242879879742,False,1.0,False
38,XGBRegressor,0.9426014713764774,False,0.8715855965263513,False
39,LarsCV,0.8960003918132192,False,0.6996207456337704,False
