,SIGNAL,REF,SCORE,FEATURE_1,FEATURE_2,FEATURE_3,FEATURE_4,FEATURE_5,FEATURE_6,FEATURE_7,FEATURE_8,FEATURE_9,FEATURE_10,FEATURE_11,FEATURE_12,FEATURE_13,FEATURE_14,FEATURE_15,FEATURE_16,FEATURE_17,FEATURE_18,FEATURE_19,FEATURE_20,FEATURE_21,FEATURE_22,FEATURE_23,FEATURE_24,FEATURE_25,FEATURE_26,FEATURE_27,FEATURE_28,FEATURE_29,FEATURE_30,FEATURE_31,FEATURE_32,FEATURE_33,FEATURE_34,FEATURE_35,FEATURE_36,FEATURE_37,FEATURE_38,FEATURE_39,FEATURE_40
0,bag_level_7.ply,bag.ply,9.59532455980262,0.9221673183864614,0.9889146771688477,0.9969149153438502,0.6941705317302403,0.7139094668080508,0.7949837230907185,0.9905654189528754,0.9903064130189311,0.9903959853900985,0.6932160121156543,0.7387571006859786,0.6675620794426365,0.0,0.0,0.0,0.0,0.8170998946430528,1.9421810993344952,2.566610752404785,0.8170998946430528,1.9421810993344952,2.2802174916145015,0.8602382322290548,1.53445593632415,0.07645275730498904,0.0855243827198234,0.3891673633213915,1.0005949485843193,1.0007320454635629,0.9701109371807265,0.13291110363201103,0.03560959915890945,0.9383672676699185,0.8915588471643383,0.32548542677801945,0.3915787204615248,0.37094793304678736,0.48543367778448887,0.5477577156681958,0.0500720207424848
1,bag_level_8.ply,bag.ply,18.2379641459553,0.947161770815801,0.9935961991004157,0.9978059118202738,0.7961365068998248,0.8054760719538419,0.8549479031106424,0.9898809327022107,0.994187274346409,0.9911716852797593,0.7967045675618655,0.8350519122999154,0.7699887693069608,0.0,0.0,0.0,0.0,0.426802949752037,1.0528288986796372,1.355632251799764,0.426802949752037,1.0528288986796372,1.0182588886375603,0.4477621097474895,0.5833874629886637,0.2610529890946762,0.2903182157427563,0.6715012414290396,1.0000399915703302,0.998781846801535,0.9608433367631363,0.3753999725473985,0.164198232049619,0.9625355555948012,0.9126956878472858,0.3248440943073566,0.4919851452649685,0.46870952014369605,0.5017350232370457,0.5328070743920568,0.02355231826651735
2,bag_level_9.ply,bag.ply,82.7410789144631,0.9736390536395727,0.9968324426373669,0.9988179793882533,0.8921560828471218,0.8925919514759957,0.9106066988010436,0.9332785208470772,0.9406375271437759,0.9462378691258126,0.8929577861989514,0.9158115243915592,0.8738700602333664,0.0,0.0,0.0,0.0,0.2608457832778752,0.6734449443664831,0.850043860324871,0.2608457832778752,0.6734449443664831,0.4608782866245909,0.2453105394025414,0.18281535020233353,0.68040993911172,0.7278287127920295,0.8459327702560624,0.9995081746326662,0.9979216361861724,0.9071353697085067,0.7526179531829671,0.5987343756510989,0.9877156791917147,0.9283956541983194,0.39563748309087954,0.8176347207348338,0.7944751982508745,0.5715491073253354,0.4386345815787201,0.005038177854839502
3,bag_gsigma_0_tsigma_8.ply,bag.ply,88.7817189712178,0.9968325289133247,0.9981007077445313,0.998183687429673,0.909155810626369,0.42135061111822747,0.20274270122369176,0.08064218235104846,0.5049683886074932,0.6862103266700669,0.8445991980859199,0.43874834392595674,0.8426400899113012,0.0,0.0,0.0,0.0,0.20222630840716013,0.5326911775383399,0.6677438208317882,0.20222630840716013,0.5326911775383399,3.3717892357957035e-14,1.7344359344952446e-14,1.570655757581753e-14,1.0,1.0,1.0,6.44940752884145e-17,6.823224829420939e-17,7.682627376755169e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,5.760905500596666e-18
4,bag_gsigma_0_tsigma_16.ply,bag.ply,86.2491113818562,0.9937360489124873,0.9962136888137386,0.9963992277624351,0.7950871689640457,0.19121944721015197,0.06848057197260377,0.1806410853468426,0.7019411359507504,0.8325235128704473,0.6837292008591034,0.22679508746665858,0.6773041046665169,0.0,0.0,0.0,0.0,0.20222630840716013,0.5326911775383399,0.6677438208317882,0.20222630840716013,0.5326911775383399,3.3717892357957035e-14,1.7344359344952446e-14,1.570655757581753e-14,1.0,1.0,1.0,6.44940752884145e-17,6.823224829420939e-17,7.682627376755169e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,5.760905500596666e-18
5,bag_gsigma_0_tsigma_32.ply,bag.ply,62.1196403938335,0.9860741451012325,0.9926124107834225,0.9929193013082745,0.622907003517833,0.07582975276163145,0.021605712805763483,0.3389994139694914,0.8337384256354458,0.9127972416002657,0.4726753226969036,0.0994726205987342,0.46087554749522275,0.0,0.0,0.0,0.0,0.20222630840716013,0.5326911775383399,0.6677438208317882,0.20222630840716013,0.5326911775383399,3.3717892357957035e-14,1.7344359344952446e-14,1.570655757581753e-14,1.0,1.0,1.0,6.44940752884145e-17,6.823224829420939e-17,7.682627376755169e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,5.760905500596666e-18
6,bag_gsigma_2_tsigma_8.ply,bag.ply,56.9214555314096,0.9840848979436775,0.9971686649212056,0.9980258417131219,0.8596704605610861,0.4122945035828523,0.20089069587794303,0.9643603770396517,0.9815778241169287,0.9897040571161809,0.8047170498246262,0.42654692686550755,0.7946056068708803,1.60917992184816,0.5413772587156815,0.5265110936392486,1.2531321388860113,0.29234416289344006,1.3603861171261469,1.1372820775883956,0.6038467976040508,0.4775048265680484,0.5988375803546238,0.26784795423444524,0.3613492612280375,0.9129723713075526,0.9472914434466319,0.3051501315876663,0.9985867471696449,0.9976154418948475,0.954616356478719,0.6764237660176763,0.8925243233859328,0.8660565575110708,0.7381733960411264,0.38871107704696556,0.3578903362657438,0.3483765243562364,0.5756350571494009,0.423251568560039,0.013198903525767186
7,bag_gsigma_2_tsigma_16.ply,bag.ply,49.3647550891434,0.9826159310942282,0.995559439321691,0.9962895240818906,0.7617381045269164,0.1876791617723696,0.06776877088503845,0.9670357772029461,0.9886624982763808,0.9943560081412249,0.6596469427547086,0.2210426371494331,0.6483042933536395,1.6079323736539823,0.5420280421381617,0.5276415934058489,1.2507660167689982,0.2919542678213761,1.3594520162334804,1.138193797278512,0.6046881926932169,0.4782850901933836,0.5981605410465278,0.267810392467531,0.3608872869189749,0.9129605074072688,0.9473921559734565,0.3058169251425801,0.9984951997933631,0.9977971451136228,0.9546427765095432,0.6768081061269543,0.8927561963328708,0.8666255067724457,0.7387272310062484,0.38858585990527755,0.3585695305848042,0.34919218136445956,0.5757625040014618,0.42319845340967227,0.013018387508485054
8,bag_gsigma_2_tsigma_32.ply,bag.ply,43.7538095677216,0.9768050546631291,0.9920669647601666,0.9929131652836772,0.6030303791808228,0.07468018977983648,0.02142862552782982,0.9721452748255528,0.9933803805653568,0.9970171469871868,0.4612786323503049,0.09763666638212448,0.447626960121462,1.6075858297438652,0.5410123330856966,0.5264705194153341,1.251662068942075,0.2903557672934098,1.3602445633543254,1.1361980889641357,0.6031226885435857,0.47733948435379825,0.5974882235183084,0.2668805368430096,0.36118435195968107,0.9130647395587097,0.9475349254393706,0.3053808217127723,0.9984138009925357,0.9978096129637212,0.9546323612148899,0.676550180395743,0.8925175226237565,0.8664292628592327,0.7392849549856916,0.3893497518042246,0.3581575096917787,0.34860933315756715,0.5758865140288703,0.42302649668497405,0.013026388619295464
9,bag_gsigma_4_tsigma_8.ply,bag.ply,22.3762041316303,0.967739033020383,0.9955797558389343,0.997624144343068,0.8128088311572117,0.40383791155167914,0.1976767827578362,0.9893554123037699,0.9955404296210144,0.9967536504410666,0.7663744205098405,0.4135939362484356,0.75161782967152,2.9222314776219624,0.8098635780089413,0.8233819592616658,2.467947461052367,0.40754844874610413,1.6790365257611366,1.7653744110958036,0.8156966354890829,1.0092973440980846,1.6541262137388633,0.47990142481674125,1.3912425276881681,0.8095965312535003,0.8738226143935758,0.31022999596083045,0.9990229761111399,0.9985278424031201,0.9603053623411859,0.606903971699243,0.7150546756124045,0.7303450187790107,0.5298019429201782,0.366298920690286,0.4270873140181503,0.4030482331135781,0.49715964011034236,0.5065757252735437,0.0750398679611129
