,Model,p-value (Pearson),p_value ≤ 0.05 (Pearson),p-value (Spearman),p_value ≤ 0.05 (Spearman)
0,AdaBoostRegressor,0.9347696963967389,False,0.993811725094941,False
1,BaggingRegressor,0.8768390293120696,False,0.9194836500097676,False
2,BayesianRidge,0.9101933714450885,False,0.9326389908447927,False
3,DecisionTreeRegressor,0.7712453608485462,False,0.7169555641534102,False
4,ElasticNet,0.9840858786532274,False,0.9859126116863582,False
5,ElasticNetCV,0.9715316820077382,False,0.9477321689956096,False
6,ExtraTreeRegressor,0.35362695951427253,False,0.47018277474786574,False
7,ExtraTreesRegressor,0.9971421883023623,False,0.9295488229133062,False
8,GammaRegressor,0.9812601025375127,False,0.984296566571943,False
9,GaussianProcessRegressor,0.9936595561359689,False,0.9954364120640159,False
10,GradientBoostingRegressor,0.6939413949566571,False,0.6497816044768061,False
11,HistGradientBoostingRegressor,0.950925142943557,False,0.9987291132162759,False
12,HuberRegressor,0.8881325077401736,False,0.8783194501729683,False
13,KNeighborsRegressor,0.9691825697962416,False,0.9592476783273196,False
14,KernelRidge,0.939205842514805,False,0.9237350842949361,False
15,LGBMRegressor,0.8154548410733293,False,0.8633700170676486,False
16,Lars,0.7423894651566882,False,0.8920160665738265,False
17,LarsCV,0.5347445807203492,False,0.5012764304020647,False
18,Lasso,0.9801580137179111,False,0.9619496017315603,False
19,LassoCV,0.9401062061897001,False,0.9406608048540656,False
20,LassoLars,0.9801704844569079,False,0.9617827672393122,False
21,LassoLarsCV,0.9202469296268336,False,0.945436850471792,False
22,LassoLarsIC,0.8785123031310894,False,0.856534652114184,False
23,LinearRegression,0.7691966892127999,False,0.791489454939083,False
24,LinearSVR,0.98956799330161,False,0.9943939929033543,False
25,MLPRegressor,0.9883593813763858,False,0.9788576027043285,False
26,NuSVR,0.9933014263469486,False,0.9965190652988833,False
27,OrthogonalMatchingPursuit,0.9808739219773619,False,0.9822526011895367,False
28,OrthogonalMatchingPursuitCV,0.9710541964295292,False,0.9447715181684857,False
29,PassiveAggressiveRegressor,0.9966267904674723,False,0.9327828564204158,False
30,PoissonRegressor,0.9711612945723462,False,0.976719661730716,False
31,RANSACRegressor,0.4169789337589038,False,0.08658497739559919,False
32,RandomForestRegressor,0.965085788104114,False,0.9553553349971082,False
33,Ridge,0.9392058425159118,False,0.9237350842949361,False
34,RidgeCV,0.8666701251980942,False,0.8808900048213504,False
35,SGDRegressor,0.9795833482775274,False,0.9677076386074819,False
36,SVR,0.9916287507036516,False,0.9975781223137444,False
37,TransformedTargetRegressor,0.7691966892127999,False,0.791489454939083,False
38,TweedieRegressor,0.9883956207796321,False,0.9935745366598776,False
39,XGBRegressor,0.7732391663374034,False,0.7103836461720601,False
