,Model,p-value (Pearson),p_value ≤ 0.05 (Pearson),p-value (Spearman),p_value ≤ 0.05 (Spearman)
0,AdaBoostRegressor,0.8638424243489083,False,0.9832171772676925,False
1,BaggingRegressor,0.9651520835566015,False,0.9689152269747536,False
2,BayesianRidge,0.8787372673767085,False,0.8565904758575363,False
3,DecisionTreeRegressor,0.9170583635518497,False,0.9394234421635872,False
4,ElasticNet,0.9713101557073278,False,0.9574609751683707,False
5,ElasticNetCV,0.9671121032965144,False,0.9655094281014087,False
6,ExtraTreeRegressor,0.4072965043893735,False,0.5243374910840315,False
7,ExtraTreesRegressor,0.9886640883752194,False,0.9654590865823651,False
8,GammaRegressor,0.9744722570616272,False,0.9978059125689709,False
9,GaussianProcessRegressor,0.9800994333302433,False,0.9626498109582031,False
10,GradientBoostingRegressor,0.9770426153012697,False,0.9716259612086782,False
11,HistGradientBoostingRegressor,0.8287925371333156,False,0.8993905104543976,False
12,HuberRegressor,0.8611665296668369,False,0.9209828616289797,False
13,KNeighborsRegressor,0.966145975978869,False,0.9274902993501744,False
14,KernelRidge,0.9320158166589845,False,0.9101766254139492,False
15,LGBMRegressor,0.9660103254840389,False,0.9362596437869538,False
16,Lars,0.525886394590614,False,0.2875563863667791,False
17,LarsCV,0.6151471173535686,False,0.7110061237469687,False
18,Lasso,0.9555854547052859,False,0.9420947568767228,False
19,LassoCV,0.9667642141342223,False,0.9979142332603441,False
20,LassoLars,0.9555971210260293,False,0.9420947568767228,False
21,LassoLarsCV,0.9766388846373153,False,0.9931316360269986,False
22,LassoLarsIC,0.7470311377634735,False,0.678651076738624,False
23,LinearRegression,0.7117507464319734,False,0.7847785600879678,False
24,LinearSVR,0.9632128620138214,False,0.9423450492124857,False
25,MLPRegressor,0.9756262897038025,False,0.9474055666783192,False
26,NuSVR,0.9987811357701115,False,0.9841243350249024,False
27,OrthogonalMatchingPursuit,0.7944793181933509,False,0.7649496910735746,False
28,OrthogonalMatchingPursuitCV,0.8697958531647502,False,0.8208755596047883,False
29,PassiveAggressiveRegressor,0.8777911876049553,False,0.9398783847125731,False
30,PoissonRegressor,0.9517902155452778,False,0.9563386010404598,False
31,RANSACRegressor,0.70203189715739,False,0.6959364179489889,False
32,RandomForestRegressor,0.93412122408268,False,0.9729059311123782,False
33,Ridge,0.9320158166591528,False,0.9101766254139492,False
34,RidgeCV,0.8051986290462793,False,0.8106530522022096,False
35,SGDRegressor,0.9673679463852157,False,0.9387544033237172,False
36,SVR,0.9965675287620782,False,0.9977194647339152,False
37,TransformedTargetRegressor,0.7117507464319734,False,0.7847785600879678,False
38,TweedieRegressor,0.9820940722682414,False,0.9713751951385174,False
39,XGBRegressor,0.8200244631104651,False,0.8499299611034139,False
